number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
125652,2019-10-27 23:21:35,49.2,334.6,-44.20001,3.727,3.71,33,30,22.22,66.8,0.0
125653,2019-10-27 23:21:43,49.2,334.9,-45.20001,3.735,3.716,33,30,22.25,66.9,8.0
125654,2019-10-27 23:21:51,49.2,335.0,-45.20001,3.737,3.718,33,30,22.28,67.0,16.0
125655,2019-10-27 23:21:59,49.2,335.2,-45.20001,3.738,3.72,33,30,22.32,67.1,24.0
125656,2019-10-27 23:22:07,49.2,335.3,-45.20001,3.74,3.721,33,30,22.35,67.18999,32.0
125657,2019-10-27 23:22:15,49.6,335.5,-45.20001,3.741,3.722,33,30,22.38,67.29,40.0
125658,2019-10-27 23:22:23,49.6,335.7,-45.10001,3.743,3.724,33,30,22.41,67.39,48.0
125659,2019-10-27 23:22:31,49.6,335.7,-45.10001,3.744,3.725,33,30,22.46,67.51,56.0
125660,2019-10-27 23:22:39,49.6,335.8,-45.10001,3.745,3.726,33,30,22.48,67.61,64.0
125661,2019-10-27 23:22:47,49.6,335.8,-45.10001,3.746,3.727,33,30,22.52,67.71,72.0
125662,2019-10-27 23:22:55,50.0,336.0,-45.10001,3.747,3.727,33,30,22.56,67.81,80.0
125663,2019-10-27 23:23:03,50.0,336.1,-45.10001,3.749,3.729,33,30,22.59,67.91,88.0
125664,2019-10-27 23:23:11,50.0,336.1,-45.10001,3.75,3.729,33,30,22.62,68.01,96.0
125665,2019-10-27 23:23:19,50.0,336.1,-45.10001,3.75,3.73,33,30,22.66,68.13,104.0
125666,2019-10-27 23:23:27,50.0,336.3,-45.10001,3.751,3.731,33,30,22.69,68.21,112.0
125667,2019-10-27 23:23:35,50.0,336.4,-45.10001,3.752,3.732,33,30,22.72,68.31,120.0
125668,2019-10-27 23:23:43,50.4,336.4,-45.10001,3.753,3.733,33,30,22.75,68.41,128.0
125669,2019-10-27 23:23:51,50.4,336.6,-45.10001,3.754,3.734,33,30,22.79,68.51,136.0
125670,2019-10-27 23:24:00,50.4,336.6,-45.10001,3.755,3.734,33,30,22.82,68.62,145.0
125671,2019-10-27 23:24:08,50.4,336.8,-45.10001,3.755,3.735,33,30,22.86,68.72,153.0
125672,2019-10-27 23:24:16,50.4,336.8,-45.10001,3.756,3.736,33,30,22.89,68.82,161.0
125673,2019-10-27 23:24:24,50.8,336.9,-45.10001,3.758,3.737,33,30,22.93,68.93999,169.0
125674,2019-10-27 23:24:32,50.8,336.9,-45.10001,3.759,3.738,33,30,22.97,69.04,177.0
125675,2019-10-27 23:24:40,50.8,337.1,-45.10001,3.759,3.739,33,30,23.0,69.14,185.0
125676,2019-10-27 23:24:48,50.8,337.1,-45.10001,3.761,3.74,33,30,23.03,69.24,193.0
125677,2019-10-27 23:24:56,50.8,337.2,-45.10001,3.762,3.74,33,30,23.06,69.34,201.0
125678,2019-10-27 23:25:04,50.8,337.2,-45.10001,3.762,3.741,33,30,23.09,69.42,209.0
125679,2019-10-27 23:25:12,51.2,337.4,-45.10001,3.763,3.742,33,30,23.12,69.52,217.0
125680,2019-10-27 23:25:20,51.2,337.4,-45.10001,3.765,3.743,33,31,23.16,69.62,225.0
125681,2019-10-27 23:25:28,51.2,337.4,-45.10001,3.765,3.744,33,31,23.2,69.74,233.0
125682,2019-10-27 23:25:36,51.2,337.5,-45.10001,3.766,3.744,33,31,23.23,69.84,241.0
125683,2019-10-27 23:25:44,51.2,337.7,-45.10001,3.767,3.745,33,31,23.26,69.93999,249.0
125684,2019-10-27 23:25:52,51.6,337.7,-45.10001,3.767,3.746,33,31,23.3,70.05,257.0
125685,2019-10-27 23:26:00,51.6,337.8,-45.10001,3.769,3.746,33,31,23.33,70.15,265.0
