number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
337011,2020-05-17 17:44:05,10.0,321.7,-70.0,3.599,3.569,37,36,4.19,12.59,0.0
337012,2020-05-17 17:44:15,10.0,322.1,-70.0,3.602,3.572,37,36,4.24,12.77,10.0
337013,2020-05-17 17:44:25,10.0,322.4,-70.0,3.605,3.575,37,36,4.31,12.96,20.0
337014,2020-05-17 17:44:35,10.4,322.5,-70.10001,3.607,3.577,37,36,4.37,13.15,30.0
337015,2020-05-17 17:44:45,10.4,322.7,-70.10001,3.61,3.579,37,36,4.43,13.34,40.0
337016,2020-05-17 17:44:55,10.8,322.8,-70.10001,3.611,3.581,37,36,4.49,13.52,50.0
337017,2020-05-17 17:45:06,10.8,323.0,-70.10001,3.613,3.582,37,36,4.56,13.72,61.0
337018,2020-05-17 17:45:16,10.8,323.2,-70.10001,3.614,3.584,37,36,4.62,13.91,71.0
337019,2020-05-17 17:45:26,11.2,323.3,-70.10001,3.616,3.586,37,36,4.69,14.1,81.0
337020,2020-05-17 17:45:36,11.2,323.5,-70.10001,3.617,3.588,37,36,4.75,14.3,91.0
337021,2020-05-17 17:45:46,11.2,323.6,-70.10001,3.619,3.589,37,36,4.82,14.49,101.0
337022,2020-05-17 17:45:56,11.6,323.6,-70.10001,3.621,3.591,37,36,4.88,14.67,111.0
337023,2020-05-17 17:46:06,11.6,323.8,-70.10001,3.621,3.592,37,36,4.94,14.86,121.0
337024,2020-05-17 17:46:16,12.0,323.9,-70.10001,3.622,3.593,37,36,5.0,15.06,131.0
337025,2020-05-17 17:46:26,12.0,323.9,-70.10001,3.624,3.594,37,36,5.07,15.25,141.0
337026,2020-05-17 17:46:36,12.0,324.1,-70.20001,3.626,3.595,37,36,5.13,15.43,151.0
337027,2020-05-17 17:46:46,12.4,324.2,-70.10001,3.626,3.596,37,36,5.19,15.62,161.0
337028,2020-05-17 17:46:56,12.4,324.2,-70.10001,3.628,3.598,37,36,5.26,15.81,171.0
337029,2020-05-17 17:47:06,12.4,324.4,-70.10001,3.628,3.599,37,36,5.32,16.02,181.0
337030,2020-05-17 17:47:16,12.8,324.6,-70.10001,3.63,3.6,37,36,5.39,16.2,191.0
337031,2020-05-17 17:47:26,12.8,324.7,-70.10001,3.631,3.601,37,36,5.45,16.39,201.0
337032,2020-05-17 17:47:36,13.2,324.7,-70.10001,3.633,3.603,37,36,5.51,16.58,211.0
337033,2020-05-17 17:47:46,13.2,324.9,-70.10001,3.634,3.603,37,36,5.57,16.76,221.0
337034,2020-05-17 17:47:56,13.2,324.9,-70.20001,3.635,3.604,37,36,5.64,16.96,231.0
337035,2020-05-17 17:48:06,13.6,325.0,-70.10001,3.637,3.606,37,36,5.7,17.15,241.0
337036,2020-05-17 17:48:16,13.6,325.2,-70.10001,3.637,3.606,37,36,5.77,17.34,251.0
337037,2020-05-17 17:48:26,13.6,325.3,-70.10001,3.638,3.608,37,36,5.82,17.53,261.0
337038,2020-05-17 17:48:36,14.0,325.5,-70.10001,3.639,3.609,37,36,5.9,17.73,271.0
337039,2020-05-17 17:48:46,14.0,325.7,-70.10001,3.639,3.61,37,36,5.95,17.91,281.0
337040,2020-05-17 17:48:56,14.0,325.7,-70.10001,3.642,3.611,37,36,6.02,18.1,291.0
337041,2020-05-17 17:49:06,14.4,325.7,-70.10001,3.643,3.612,37,36,6.07,18.26,301.0
337042,2020-05-17 17:49:16,14.4,325.8,-70.10001,3.645,3.613,37,36,6.15,18.49,311.0
337043,2020-05-17 17:49:26,14.8,326.0,-70.10001,3.645,3.615,37,36,6.21,18.68,321.0
337044,2020-05-17 17:49:36,14.8,326.1,-70.10001,3.646,3.615,37,36,6.28,18.88,331.0
337045,2020-05-17 17:49:46,14.8,326.0,-70.10001,3.647,3.617,37,36,6.33,19.05,341.0
337046,2020-05-17 17:49:56,15.2,326.3,-70.10001,3.648,3.618,37,36,6.4,19.24,351.0
337047,2020-05-17 17:50:06,15.2,326.3,-70.10001,3.65,3.619,37,36,6.46,19.44,361.0
337048,2020-05-17 17:50:16,15.2,326.4,-70.10001,3.65,3.62,37,36,6.53,19.63,371.0
337049,2020-05-17 17:50:26,15.6,326.4,-70.10001,3.651,3.621,37,36,6.59,19.82,381.0
337050,2020-05-17 17:50:36,15.6,326.6,-70.10001,3.653,3.622,37,36,6.65,20.01,391.0
337051,2020-05-17 17:50:46,16.0,326.6,-70.10001,3.653,3.623,37,36,6.72,20.21,401.0
337052,2020-05-17 17:50:56,16.0,326.7,-70.10001,3.654,3.624,37,36,6.78,20.39,411.0
337053,2020-05-17 17:51:06,16.0,326.7,-70.10001,3.656,3.625,37,36,6.84,20.59,421.0
337054,2020-05-17 17:51:16,16.4,326.9,-70.10001,3.655,3.625,37,36,6.9,20.77,431.0
337055,2020-05-17 17:51:26,16.4,326.9,-70.10001,3.657,3.626,37,36,6.97,20.95,441.0
337056,2020-05-17 17:51:36,16.4,327.1,-70.0,3.657,3.628,37,36,7.03,21.16,451.0
337057,2020-05-17 17:51:46,16.8,327.1,-70.10001,3.658,3.628,37,36,7.1,21.34,461.0
337058,2020-05-17 17:51:56,16.8,327.2,-70.10001,3.658,3.629,37,36,7.16,21.53,471.0
337059,2020-05-17 17:52:06,17.2,327.2,-70.10001,3.66,3.631,37,36,7.22,21.72,481.0
337060,2020-05-17 17:52:16,17.2,327.4,-70.10001,3.661,3.631,37,36,7.29,21.92,491.0
337061,2020-05-17 17:52:26,17.2,327.4,-70.10001,3.661,3.632,37,36,7.35,22.1,501.0
337062,2020-05-17 17:52:36,17.6,327.4,-70.10001,3.663,3.633,37,36,7.42,22.31,511.0
337063,2020-05-17 17:52:46,17.6,327.5,-70.0,3.664,3.634,37,36,7.48,22.5,521.0
337064,2020-05-17 17:52:56,17.6,327.7,-70.10001,3.664,3.634,37,36,7.54,22.69,531.0
337065,2020-05-17 17:53:06,18.0,327.7,-70.10001,3.665,3.635,37,36,7.61,22.87,541.0
337066,2020-05-17 17:53:16,18.0,327.7,-70.10001,3.664,3.636,37,36,7.66,23.06,551.0
337067,2020-05-17 17:53:26,18.4,327.7,-70.10001,3.666,3.636,37,36,7.73,23.25,561.0
337068,2020-05-17 17:53:36,18.4,327.8,-70.10001,3.666,3.637,37,36,7.79,23.43,571.0
337069,2020-05-17 17:53:46,18.4,328.0,-70.10001,3.667,3.639,37,36,7.85,23.62,581.0
337070,2020-05-17 17:53:56,18.8,328.0,-70.10001,3.668,3.639,37,36,7.92,23.82,591.0
337071,2020-05-17 17:54:06,18.8,328.0,-70.0,3.668,3.64,37,36,7.99,24.02,601.0
337072,2020-05-17 17:54:16,18.8,328.2,-70.0,3.669,3.641,37,36,8.05,24.21,611.0
337073,2020-05-17 17:54:26,19.2,328.2,-70.10001,3.67,3.641,37,36,8.11,24.38,621.0
337074,2020-05-17 17:54:36,19.2,328.3,-70.10001,3.67,3.642,37,36,8.17,24.57,631.0
337075,2020-05-17 17:54:46,19.6,328.3,-70.10001,3.67,3.642,37,36,8.24,24.77,641.0
337076,2020-05-17 17:54:56,19.6,328.3,-70.10001,3.672,3.643,37,36,8.3,24.96,651.0
