number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
465392,2020-09-29 22:24:14,81.6,366.8,-50.89999,4.095,4.058,38,36,34.73,104.39,0.0
465393,2020-09-29 22:24:24,82.0,367.1,-50.89999,4.098,4.061,38,36,34.78,104.54,10.0
465394,2020-09-29 22:24:34,82.0,367.2,-50.80002,4.1,4.063,38,36,34.82,104.67,20.0
465395,2020-09-29 22:24:44,82.0,367.4,-50.89999,4.102,4.065,38,36,34.87,104.82,30.0
465396,2020-09-29 22:24:54,82.4,367.5,-50.80002,4.103,4.066,38,36,34.91,104.95,40.0
465397,2020-09-29 22:25:04,82.4,367.7,-50.89999,4.105,4.068,38,36,34.96,105.1,50.0
465398,2020-09-29 22:25:14,82.4,367.8,-50.80002,4.106,4.069,38,36,35.01,105.26,60.0
465399,2020-09-29 22:25:24,82.4,368.0,-50.89999,4.107,4.07,38,36,35.06,105.39,70.0
465400,2020-09-29 22:25:34,82.8,368.0,-50.89999,4.109,4.072,38,36,35.11,105.54,80.0
465401,2020-09-29 22:25:44,82.8,368.2,-50.80002,4.11,4.074,38,36,35.15,105.67,90.0
465402,2020-09-29 22:25:54,82.8,368.3,-50.89999,4.111,4.074,38,36,35.2,105.82,100.0
465403,2020-09-29 22:26:04,83.2,368.5,-50.89999,4.113,4.076,38,36,35.24,105.95,110.0
465404,2020-09-29 22:26:14,83.2,368.6,-50.80002,4.115,4.078,38,36,35.29,106.1,120.0
465405,2020-09-29 22:26:24,83.2,368.6,-50.89999,4.115,4.079,38,36,35.34,106.23,130.0
465406,2020-09-29 22:26:34,83.2,368.8,-50.89999,4.117,4.08,38,36,35.39,106.38,140.0
465407,2020-09-29 22:26:44,83.6,368.9,-50.89999,4.118,4.081,38,36,35.44,106.53,150.0
465408,2020-09-29 22:26:54,83.6,368.9,-50.89999,4.119,4.082,38,36,35.48,106.67,160.0
465409,2020-09-29 22:27:04,83.6,369.1,-50.80002,4.12,4.084,38,36,35.53,106.81,170.0
465410,2020-09-29 22:27:14,83.6,369.3,-50.80002,4.121,4.085,38,36,35.57,106.95,180.0
465411,2020-09-29 22:27:24,84.0,369.4,-50.89999,4.123,4.086,38,36,35.62,107.09,190.0
465412,2020-09-29 22:27:34,84.0,369.4,-50.80002,4.125,4.087,38,36,35.67,107.25,200.0
465413,2020-09-29 22:27:44,84.0,369.6,-50.80002,4.125,4.089,38,36,35.72,107.39,210.0
465414,2020-09-29 22:27:54,84.4,369.6,-50.89999,4.127,4.089,38,36,35.76,107.51,220.0
465415,2020-09-29 22:28:04,84.4,369.7,-50.89999,4.128,4.091,38,36,35.82,107.67,230.0
465416,2020-09-29 22:28:14,84.4,369.9,-50.80002,4.129,4.091,38,36,35.86,107.81,240.0
465417,2020-09-29 22:28:24,84.4,370.0,-50.80002,4.131,4.094,38,36,35.91,107.95,250.0
465418,2020-09-29 22:28:34,84.8,370.2,-50.89999,4.131,4.094,38,36,35.96,108.1,260.0
465419,2020-09-29 22:28:44,84.8,370.2,-50.89999,4.133,4.095,38,36,36.0,108.25,270.0
465420,2020-09-29 22:28:54,84.8,370.2,-50.89999,4.134,4.096,38,36,36.05,108.38,280.0
465421,2020-09-29 22:29:04,85.2,370.4,-50.80002,4.135,4.098,38,36,36.1,108.53,290.0
465422,2020-09-29 22:29:14,85.2,370.5,-50.89999,4.137,4.099,38,36,36.15,108.66,300.0
465423,2020-09-29 22:29:24,85.2,370.7,-50.80002,4.138,4.1,38,36,36.18,108.79,310.0
465424,2020-09-29 22:29:34,85.2,370.7,-50.89999,4.139,4.102,38,36,36.24,108.94,320.0
465425,2020-09-29 22:29:44,85.6,370.8,-50.89999,4.14,4.103,38,36,36.29,109.1,330.0
465426,2020-09-29 22:29:54,85.6,371.0,-50.89999,4.14,4.104,38,36,36.34,109.25,340.0
465427,2020-09-29 22:30:04,85.6,371.1,-50.89999,4.142,4.105,38,36,36.39,109.38,350.0
465428,2020-09-29 22:30:14,86.0,371.1,-50.89999,4.143,4.106,38,36,36.43,109.53,360.0
465429,2020-09-29 22:30:24,86.0,371.3,-50.89999,4.144,4.108,38,36,36.48,109.66,370.0
465430,2020-09-29 22:30:34,86.0,371.3,-50.89999,4.145,4.109,38,36,36.52,109.81,380.0
465431,2020-09-29 22:30:44,86.0,371.4,-50.89999,4.146,4.11,38,36,36.58,109.96,390.0
465432,2020-09-29 22:30:54,86.4,371.6,-50.89999,4.148,4.111,38,36,36.62,110.1,400.0
465433,2020-09-29 22:31:04,86.4,371.8,-50.89999,4.149,4.112,38,36,36.67,110.22,410.0
465434,2020-09-29 22:31:14,86.4,371.8,-50.89999,4.15,4.113,38,36,36.72,110.38,420.0
465435,2020-09-29 22:31:24,86.4,371.9,-50.89999,4.152,4.115,38,36,36.77,110.52,430.0
465436,2020-09-29 22:31:34,86.8,371.9,-50.89999,4.152,4.116,38,36,36.81,110.66,440.0
465437,2020-09-29 22:31:44,86.8,372.1,-50.89999,4.154,4.117,38,36,36.86,110.8,450.0
465438,2020-09-29 22:31:54,86.8,372.2,-50.89999,4.155,4.118,38,36,36.91,110.96,460.0
465439,2020-09-29 22:32:04,87.2,372.4,-50.89999,4.156,4.119,38,36,36.95,111.1,470.0
465440,2020-09-29 22:32:14,87.2,372.4,-50.89999,4.157,4.12,38,36,37.0,111.24,480.0
465441,2020-09-29 22:32:24,87.2,372.5,-50.89999,4.159,4.123,38,36,37.05,111.38,490.0
465442,2020-09-29 22:32:34,87.2,372.7,-50.89999,4.159,4.123,38,36,37.1,111.52,500.0
465443,2020-09-29 22:32:44,87.6,372.5,-46.60001,4.158,4.123,38,36,37.14,111.66,510.0
465444,2020-09-29 22:32:54,87.6,372.7,-46.60001,4.159,4.123,38,36,37.18,111.78,520.0
465445,2020-09-29 22:33:04,87.6,372.7,-46.60001,4.159,4.124,38,36,37.23,111.93,530.0
465446,2020-09-29 22:33:14,87.6,372.9,-46.60001,4.161,4.126,38,36,37.27,112.05,540.0
465447,2020-09-29 22:33:24,88.0,372.9,-46.5,4.162,4.127,38,36,37.31,112.17,550.0
465448,2020-09-29 22:33:34,88.0,373.0,-46.60001,4.163,4.128,38,36,37.36,112.31,560.0
465449,2020-09-29 22:33:44,88.0,373.0,-46.60001,4.164,4.128,38,36,37.4,112.44,570.0
465450,2020-09-29 22:33:54,88.0,373.2,-46.60001,4.165,4.13,38,36,37.44,112.56,580.0
465451,2020-09-29 22:34:04,88.4,373.3,-46.60001,4.166,4.13,38,36,37.49,112.69,590.0
465452,2020-09-29 22:34:14,88.4,373.3,-46.60001,4.166,4.131,38,36,37.53,112.82,600.0
465453,2020-09-29 22:34:24,88.4,373.5,-46.60001,4.168,4.132,38,36,37.57,112.95,610.0
465454,2020-09-29 22:34:34,88.4,373.5,-46.5,4.169,4.134,38,36,37.62,113.09,620.0
465455,2020-09-29 22:34:44,88.8,373.6,-46.5,4.169,4.134,38,36,37.66,113.21,630.0
465456,2020-09-29 22:34:54,88.8,373.8,-46.60001,4.17,4.135,38,36,37.7,113.34,640.0
465457,2020-09-29 22:35:04,88.8,373.8,-46.60001,4.171,4.137,38,36,37.75,113.48,650.0
465458,2020-09-29 22:35:14,89.2,373.9,-46.60001,4.173,4.138,38,36,37.79,113.61,660.0
465459,2020-09-29 22:35:24,89.2,374.1,-46.60001,4.174,4.139,38,36,37.83,113.73,670.0
465460,2020-09-29 22:35:34,89.2,374.1,-46.5,4.175,4.14,38,36,37.88,113.87,680.0
465461,2020-09-29 22:35:44,89.2,374.3,-46.5,4.176,4.141,38,36,37.92,114.0,690.0
465462,2020-09-29 22:35:54,89.6,374.4,-46.60001,4.177,4.142,38,36,37.96,114.12,700.0
465463,2020-09-29 22:36:04,89.6,374.4,-46.60001,4.178,4.143,38,36,38.01,114.26,710.0
465464,2020-09-29 22:36:14,89.6,374.4,-46.60001,4.179,4.144,38,36,38.05,114.38,720.0
465465,2020-09-29 22:36:24,89.6,374.6,-46.60001,4.181,4.145,38,36,38.09,114.51,730.0
465466,2020-09-29 22:36:34,90.0,374.7,-46.60001,4.181,4.146,38,36,38.14,114.65,740.0
465467,2020-09-29 22:36:44,90.0,374.9,-46.60001,4.182,4.147,38,36,38.18,114.77,750.0
465468,2020-09-29 22:36:54,90.0,374.9,-46.60001,4.183,4.148,38,36,38.22,114.9,760.0
465469,2020-09-29 22:37:04,90.0,374.9,-46.5,4.184,4.149,38,36,38.27,115.05,770.0
465470,2020-09-29 22:37:14,90.4,375.0,-46.60001,4.185,4.151,38,36,38.3,115.16,780.0
465471,2020-09-29 22:37:24,90.4,375.2,-46.5,4.186,4.151,38,36,38.35,115.29,790.0
465472,2020-09-29 22:37:34,90.4,375.2,-46.60001,4.187,4.152,38,36,38.4,115.43,800.0
465473,2020-09-29 22:37:44,90.4,375.4,-46.60001,4.188,4.153,38,36,38.43,115.56,810.0
465474,2020-09-29 22:37:54,90.8,375.5,-46.5,4.189,4.154,38,36,38.48,115.68,820.0
465475,2020-09-29 22:38:04,90.8,375.5,-46.5,4.191,4.156,38,36,38.53,115.82,830.0
465476,2020-09-29 22:38:14,90.8,375.7,-46.60001,4.192,4.156,38,36,38.56,115.94,840.0
465477,2020-09-29 22:38:24,90.8,375.8,-46.60001,4.193,4.158,38,36,38.61,116.07,850.0
465478,2020-09-29 22:38:34,91.2,375.8,-46.60001,4.194,4.159,38,36,38.66,116.21,860.0
