number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
516387,2020-11-23 05:43:57,35.2,330.8,-70.10001,3.697,3.67,27,25,14.76,44.37,0.0
516388,2020-11-23 05:44:07,35.2,331.1,-70.20001,3.701,3.673,27,25,14.82,44.57,10.0
516389,2020-11-23 05:44:17,35.2,331.3,-70.10001,3.704,3.676,27,25,14.89,44.76,20.0
516390,2020-11-23 05:44:27,35.6,331.4,-70.10001,3.705,3.678,27,25,14.95,44.96,30.0
516391,2020-11-23 05:44:37,35.6,331.6,-70.10001,3.707,3.679,27,25,15.02,45.16,40.0
516392,2020-11-23 05:44:47,35.6,331.7,-70.20001,3.709,3.681,27,25,15.1,45.38,50.0
516393,2020-11-23 05:44:57,36.0,331.9,-70.20001,3.71,3.682,28,25,15.16,45.58,60.0
516394,2020-11-23 05:45:07,36.0,332.1,-70.20001,3.711,3.683,28,25,15.22,45.77,70.0
516395,2020-11-23 05:45:17,36.4,332.1,-70.20001,3.712,3.684,28,25,15.28,45.95,80.0
516396,2020-11-23 05:45:27,36.4,332.2,-70.20001,3.713,3.685,28,25,15.35,46.15,90.0
516397,2020-11-23 05:45:37,36.4,332.2,-70.20001,3.714,3.685,28,25,15.41,46.34,100.0
516398,2020-11-23 05:45:47,36.8,332.4,-70.20001,3.715,3.686,28,25,15.48,46.54,110.0
516399,2020-11-23 05:45:57,36.8,332.4,-70.20001,3.716,3.688,28,25,15.55,46.74,120.0
516400,2020-11-23 05:46:07,37.2,332.5,-70.20001,3.716,3.689,28,25,15.61,46.94,130.0
516401,2020-11-23 05:46:17,37.2,332.5,-70.20001,3.717,3.689,28,25,15.69,47.16,140.0
516402,2020-11-23 05:46:27,37.2,332.7,-70.20001,3.719,3.69,28,25,15.75,47.35,150.0
516403,2020-11-23 05:46:37,37.6,332.7,-70.20001,3.719,3.691,28,25,15.81,47.55,160.0
516404,2020-11-23 05:46:47,37.6,332.8,-70.20001,3.721,3.692,28,26,15.87,47.73,170.0
516405,2020-11-23 05:46:57,38.0,332.8,-70.30002,3.721,3.692,28,26,15.94,47.91,180.0
516406,2020-11-23 05:47:07,38.0,333.0,-70.20001,3.723,3.693,28,26,16.0,48.12,190.0
516407,2020-11-23 05:47:17,38.0,333.0,-70.20001,3.723,3.694,28,26,16.07,48.32,200.0
516408,2020-11-23 05:47:27,38.4,333.2,-70.30002,3.724,3.695,28,26,16.14,48.52,210.0
516409,2020-11-23 05:47:37,38.4,333.2,-70.20001,3.724,3.696,28,26,16.2,48.72,220.0
516410,2020-11-23 05:47:47,38.4,333.3,-70.20001,3.726,3.697,28,26,16.27,48.94,230.0
516411,2020-11-23 05:47:57,38.8,333.3,-70.30002,3.726,3.697,28,26,16.34,49.12,240.0
516412,2020-11-23 05:48:07,38.8,333.5,-70.30002,3.728,3.699,28,26,16.4,49.32,250.0
516413,2020-11-23 05:48:17,39.2,333.5,-70.30002,3.729,3.698,28,26,16.48,49.52,260.0
516414,2020-11-23 05:48:27,39.2,333.6,-70.20001,3.729,3.7,28,26,16.53,49.71,270.0
516415,2020-11-23 05:48:37,39.2,333.6,-70.30002,3.731,3.701,28,26,16.6,49.9,280.0
516416,2020-11-23 05:48:47,39.6,333.6,-70.30002,3.731,3.701,28,26,16.66,50.1,290.0
516417,2020-11-23 05:48:57,39.6,333.8,-70.30002,3.732,3.702,28,26,16.73,50.3,300.0
516418,2020-11-23 05:49:07,40.0,333.9,-70.30002,3.733,3.703,28,26,16.8,50.5,310.0
516419,2020-11-23 05:49:17,40.0,333.9,-70.30002,3.733,3.704,28,26,16.87,50.72,320.0
516420,2020-11-23 05:49:27,40.0,334.1,-70.30002,3.734,3.704,28,26,16.94,50.92,330.0
516421,2020-11-23 05:49:37,40.4,334.1,-70.30002,3.736,3.706,28,26,17.0,51.12,340.0
516422,2020-11-23 05:49:47,40.4,334.2,-70.30002,3.736,3.706,28,26,17.06,51.29,350.0
516423,2020-11-23 05:49:57,40.8,334.2,-70.30002,3.737,3.707,28,26,17.13,51.49,360.0
516424,2020-11-23 05:50:07,40.8,334.4,-70.30002,3.738,3.707,28,26,17.19,51.69,370.0
516425,2020-11-23 05:50:17,40.8,334.4,-70.30002,3.738,3.708,28,26,17.25,51.88,380.0
516426,2020-11-23 05:50:27,41.2,334.6,-70.30002,3.74,3.708,28,26,17.32,52.08,390.0
516427,2020-11-23 05:50:37,41.2,334.6,-70.30002,3.74,3.71,28,26,17.39,52.28,400.0
516428,2020-11-23 05:50:47,41.6,334.7,-70.30002,3.741,3.711,28,26,17.46,52.5,410.0
516429,2020-11-23 05:50:57,41.6,334.7,-70.30002,3.742,3.711,28,26,17.53,52.7,420.0
516430,2020-11-23 05:51:07,41.6,334.9,-70.30002,3.744,3.713,28,26,17.6,52.9,430.0
516431,2020-11-23 05:51:17,42.0,334.9,-70.30002,3.744,3.713,28,26,17.66,53.1,440.0
516432,2020-11-23 05:51:27,42.0,335.0,-70.30002,3.745,3.714,28,26,17.72,53.28,450.0
516433,2020-11-23 05:51:37,42.0,335.0,-70.30002,3.746,3.715,28,26,17.78,53.48,460.0
516434,2020-11-23 05:51:47,42.4,335.2,-70.30002,3.746,3.716,28,26,17.86,53.68,470.0
516435,2020-11-23 05:51:57,42.4,335.2,-70.30002,3.747,3.716,28,26,17.92,53.88,480.0
516436,2020-11-23 05:52:07,42.8,335.3,-70.30002,3.748,3.718,28,26,17.99,54.08,490.0
516437,2020-11-23 05:52:17,42.8,335.5,-70.30002,3.749,3.719,29,26,18.04,54.25,500.0
516438,2020-11-23 05:52:27,42.8,335.5,-70.30002,3.751,3.719,29,26,18.13,54.5,510.0
