number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
477629,2020-10-12 20:23:23,11.6,321.9,-69.80002,3.601,3.569,38,36,4.88,14.67,0.0
477630,2020-10-12 20:23:33,11.6,322.2,-69.89999,3.604,3.574,38,36,4.95,14.87,10.0
477631,2020-10-12 20:23:43,12.0,322.5,-69.80002,3.607,3.577,38,36,5.0,15.06,20.0
477632,2020-10-12 20:23:53,12.0,322.7,-70.0,3.61,3.579,38,36,5.08,15.27,30.0
477633,2020-10-12 20:24:03,12.0,322.8,-70.0,3.613,3.581,38,36,5.13,15.46,40.0
477634,2020-10-12 20:24:13,12.4,323.0,-69.89999,3.615,3.583,38,36,5.21,15.66,50.0
477635,2020-10-12 20:24:23,12.4,323.2,-70.0,3.616,3.585,38,36,5.26,15.84,60.0
477636,2020-10-12 20:24:33,12.4,323.3,-69.89999,3.617,3.586,38,37,5.34,16.04,70.0
477637,2020-10-12 20:24:43,12.8,323.5,-70.10001,3.619,3.588,38,37,5.39,16.23,80.0
477638,2020-10-12 20:24:53,12.8,323.6,-70.0,3.621,3.589,38,37,5.46,16.43,90.0
477639,2020-10-12 20:25:03,13.2,323.8,-70.0,3.621,3.591,38,37,5.53,16.62,100.0
477640,2020-10-12 20:25:13,13.2,323.9,-70.0,3.623,3.592,38,37,5.59,16.82,110.0
477641,2020-10-12 20:25:23,13.2,324.1,-69.80002,3.625,3.593,38,37,5.66,17.01,120.0
477642,2020-10-12 20:25:33,13.6,324.1,-70.0,3.627,3.595,38,37,5.72,17.22,130.0
477643,2020-10-12 20:25:43,13.6,324.2,-69.89999,3.628,3.596,38,37,5.79,17.4,140.0
477644,2020-10-12 20:25:53,14.0,324.4,-70.0,3.629,3.597,38,37,5.85,17.6,150.0
477645,2020-10-12 20:26:03,14.0,324.4,-70.10001,3.631,3.598,39,37,5.92,17.79,160.0
477646,2020-10-12 20:26:13,14.0,324.6,-69.89999,3.632,3.6,38,37,5.98,17.99,170.0
477647,2020-10-12 20:26:23,14.4,324.7,-70.0,3.632,3.601,39,37,6.05,18.18,180.0
477648,2020-10-12 20:26:33,14.4,324.9,-70.0,3.634,3.602,39,37,6.11,18.38,190.0
477649,2020-10-12 20:26:43,14.4,324.9,-70.0,3.635,3.603,39,37,6.18,18.57,200.0
477650,2020-10-12 20:26:53,14.8,325.0,-69.80002,3.636,3.604,39,37,6.24,18.77,210.0
477651,2020-10-12 20:27:03,14.8,325.2,-70.0,3.638,3.605,39,37,6.31,18.96,220.0
477652,2020-10-12 20:27:13,15.2,325.2,-69.89999,3.639,3.607,39,37,6.37,19.16,230.0
477653,2020-10-12 20:27:23,15.2,325.3,-70.0,3.641,3.608,39,37,6.44,19.35,240.0
477654,2020-10-12 20:27:33,15.2,325.3,-70.10001,3.642,3.609,39,37,6.5,19.55,250.0
477655,2020-10-12 20:27:43,15.6,325.5,-70.0,3.643,3.61,39,37,6.57,19.77,260.0
477656,2020-10-12 20:27:53,15.6,325.7,-70.0,3.643,3.611,38,37,6.63,19.94,270.0
477657,2020-10-12 20:28:03,15.6,325.8,-70.0,3.645,3.612,39,37,6.69,20.13,280.0
477658,2020-10-12 20:28:13,16.0,325.8,-69.80002,3.646,3.614,39,37,6.76,20.33,290.0
477659,2020-10-12 20:28:23,16.0,326.0,-70.0,3.646,3.614,39,37,6.83,20.53,300.0
477660,2020-10-12 20:28:33,16.4,326.1,-70.0,3.647,3.615,39,37,6.89,20.72,310.0
477661,2020-10-12 20:28:43,16.4,326.1,-70.0,3.649,3.617,38,37,6.96,20.93,320.0
477662,2020-10-12 20:28:53,16.4,326.3,-70.0,3.651,3.618,39,37,7.02,21.11,330.0
477663,2020-10-12 20:29:03,16.8,326.4,-70.0,3.651,3.619,38,37,7.09,21.33,340.0
477664,2020-10-12 20:29:13,16.8,326.6,-70.0,3.652,3.62,39,37,7.15,21.5,350.0
477665,2020-10-12 20:29:23,17.2,326.6,-70.0,3.653,3.621,38,37,7.22,21.7,360.0
477666,2020-10-12 20:29:33,17.2,326.6,-70.0,3.654,3.622,38,37,7.28,21.89,370.0
477667,2020-10-12 20:29:43,17.2,326.7,-70.0,3.655,3.624,38,37,7.35,22.09,380.0
477668,2020-10-12 20:29:53,17.6,326.9,-69.89999,3.655,3.625,38,37,7.41,22.28,390.0
477669,2020-10-12 20:30:03,17.6,326.9,-70.0,3.657,3.625,38,37,7.48,22.48,400.0
477670,2020-10-12 20:30:13,17.6,327.1,-69.89999,3.657,3.626,38,37,7.53,22.66,410.0
477671,2020-10-12 20:30:23,18.0,327.1,-70.0,3.658,3.626,38,37,7.61,22.87,420.0
477672,2020-10-12 20:30:33,18.0,327.1,-69.80002,3.66,3.628,38,37,7.66,23.06,430.0
477673,2020-10-12 20:30:43,18.4,327.2,-70.20001,3.66,3.629,38,37,7.74,23.28,440.0
477674,2020-10-12 20:30:53,18.4,327.4,-69.70001,3.661,3.63,38,37,7.79,23.45,450.0
477675,2020-10-12 20:31:03,18.4,327.4,-70.10001,3.662,3.631,38,37,7.86,23.63,460.0
477676,2020-10-12 20:31:13,18.8,327.4,-69.80002,3.662,3.631,38,37,7.92,23.84,470.0
477677,2020-10-12 20:31:23,18.8,327.5,-70.0,3.663,3.633,38,37,7.99,24.02,480.0
477678,2020-10-12 20:31:33,18.8,327.5,-70.0,3.663,3.633,38,37,8.05,24.22,490.0
477679,2020-10-12 20:31:43,19.2,327.7,-70.0,3.665,3.635,38,37,8.12,24.41,500.0
477680,2020-10-12 20:31:53,19.2,327.8,-70.0,3.666,3.635,38,37,8.19,24.61,510.0
477681,2020-10-12 20:32:03,19.6,327.8,-69.89999,3.666,3.635,38,37,8.25,24.8,520.0
477682,2020-10-12 20:32:13,19.6,327.8,-70.0,3.668,3.637,38,37,8.32,25.02,530.0
477683,2020-10-12 20:32:24,19.6,328.0,-70.0,3.668,3.637,38,37,8.38,25.19,541.0
477684,2020-10-12 20:32:34,20.0,328.0,-70.10001,3.669,3.638,38,37,8.45,25.4,551.0
477685,2020-10-12 20:32:44,20.0,328.2,-69.80002,3.668,3.64,38,37,8.51,25.58,561.0
477686,2020-10-12 20:32:54,20.4,328.2,-69.89999,3.67,3.639,38,37,8.57,25.77,571.0
477687,2020-10-12 20:33:04,20.4,328.3,-69.80002,3.671,3.641,38,37,8.63,25.97,581.0
477688,2020-10-12 20:33:14,20.4,328.3,-69.89999,3.671,3.641,38,37,8.7,26.16,591.0
477689,2020-10-12 20:33:24,20.8,328.3,-70.0,3.671,3.643,38,37,8.76,26.36,601.0
477690,2020-10-12 20:33:34,20.8,328.5,-69.89999,3.673,3.643,38,37,8.84,26.58,611.0
477691,2020-10-12 20:33:44,20.8,328.5,-69.89999,3.673,3.644,38,37,8.9,26.77,621.0
477692,2020-10-12 20:33:54,21.2,328.5,-69.89999,3.675,3.644,38,37,8.97,26.97,631.0
477693,2020-10-12 20:34:04,21.2,328.6,-70.0,3.674,3.645,38,37,9.02,27.14,641.0
