number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
759610,2021-09-15 17:44:51,12.8,321.4,-60.39999,3.591,3.561,37,35,5.63,16.92,0.0
759611,2021-09-15 17:45:01,12.8,321.6,-60.39999,3.595,3.563,37,35,5.69,17.12,10.0
759612,2021-09-15 17:45:11,12.8,321.7,-60.39999,3.596,3.566,37,35,5.75,17.3,20.0
759613,2021-09-15 17:45:21,13.2,322.1,-60.39999,3.597,3.567,37,35,5.82,17.5,30.0
759614,2021-09-15 17:45:31,13.2,322.1,-60.39999,3.599,3.569,37,35,5.87,17.67,40.0
759615,2021-09-15 17:45:41,13.6,322.2,-60.39999,3.6,3.57,37,35,5.94,17.87,50.0
759616,2021-09-15 17:45:51,13.6,322.4,-60.39999,3.603,3.572,37,35,6.0,18.05,60.0
759617,2021-09-15 17:46:01,13.6,322.5,-60.39999,3.603,3.574,37,35,6.07,18.26,70.0
759618,2021-09-15 17:46:11,14.0,322.7,-60.39999,3.604,3.575,37,35,6.14,18.46,80.0
759619,2021-09-15 17:46:21,14.0,322.8,-60.39999,3.606,3.578,37,35,6.19,18.64,90.0
759620,2021-09-15 17:46:31,14.0,322.8,-60.39999,3.607,3.578,37,35,6.26,18.83,100.0
759621,2021-09-15 17:46:41,14.4,323.0,-60.39999,3.608,3.579,37,36,6.32,19.01,110.0
759622,2021-09-15 17:46:51,14.4,323.2,-60.39999,3.609,3.58,37,36,6.39,19.21,120.0
759623,2021-09-15 17:47:01,14.4,323.2,-60.39999,3.61,3.582,37,36,6.44,19.38,130.0
759624,2021-09-15 17:47:11,14.8,323.3,-60.5,3.611,3.584,37,35,6.51,19.57,140.0
759625,2021-09-15 17:47:21,14.8,323.5,-60.39999,3.613,3.585,37,36,6.57,19.75,150.0
759626,2021-09-15 17:47:31,14.8,323.5,-60.5,3.614,3.585,37,35,6.63,19.95,160.0
759627,2021-09-15 17:47:41,15.2,323.6,-60.39999,3.615,3.586,37,36,6.7,20.14,170.0
759628,2021-09-15 17:47:51,15.2,323.6,-60.39999,3.615,3.587,37,36,6.75,20.32,180.0
759629,2021-09-15 17:48:01,15.2,323.8,-60.5,3.617,3.588,37,36,6.82,20.52,190.0
759630,2021-09-15 17:48:11,15.6,323.8,-60.5,3.618,3.589,37,36,6.88,20.7,200.0
759631,2021-09-15 17:48:21,15.6,323.9,-60.5,3.618,3.59,37,36,6.95,20.89,210.0
759632,2021-09-15 17:48:31,16.0,324.1,-60.5,3.619,3.592,37,36,7.0,21.07,220.0
759633,2021-09-15 17:48:41,16.0,324.1,-60.5,3.621,3.593,37,36,7.07,21.27,230.0
759634,2021-09-15 17:48:51,16.0,324.2,-60.5,3.622,3.594,37,36,7.13,21.45,240.0
759635,2021-09-15 17:49:01,16.4,324.2,-60.5,3.623,3.595,37,36,7.2,21.64,250.0
759636,2021-09-15 17:49:11,16.4,324.4,-60.5,3.623,3.596,37,36,7.25,21.82,260.0
759637,2021-09-15 17:49:21,16.4,324.4,-60.5,3.624,3.596,37,36,7.32,22.02,270.0
759638,2021-09-15 17:49:31,16.8,324.6,-60.5,3.626,3.597,37,36,7.39,22.21,280.0
759639,2021-09-15 17:49:41,16.8,324.6,-60.5,3.626,3.598,37,36,7.44,22.39,290.0
759640,2021-09-15 17:49:51,16.8,324.7,-60.5,3.628,3.599,37,36,7.51,22.59,300.0
759641,2021-09-15 17:50:01,17.2,324.7,-60.5,3.628,3.599,37,36,7.57,22.77,310.0
759642,2021-09-15 17:50:11,17.2,324.9,-60.5,3.63,3.6,37,36,7.64,22.96,320.0
759643,2021-09-15 17:50:21,17.2,324.9,-60.5,3.631,3.602,37,36,7.69,23.14,330.0
