number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
490185,2020-12-03 03:13:04,46.8,335.3,-70.89999,3.75,3.714,25,22,19.29,58.03,0.0
490186,2020-12-03 03:13:14,46.8,336.1,-70.89999,3.757,3.721,25,22,19.36,58.24,10.0
490187,2020-12-03 03:13:24,47.2,336.4,-70.89999,3.762,3.725,25,22,19.42,58.44,20.0
490188,2020-12-03 03:13:34,47.2,336.6,-70.89999,3.764,3.728,25,22,19.49,58.65,30.0
490189,2020-12-03 03:13:44,47.6,336.9,-70.89999,3.767,3.73,25,22,19.56,58.85,40.0
490190,2020-12-03 03:13:54,47.6,337.1,-70.89999,3.769,3.732,25,22,19.62,59.04,50.0
490191,2020-12-03 03:14:04,47.6,337.2,-70.89999,3.772,3.734,25,22,19.69,59.23,60.0
490192,2020-12-03 03:14:14,48.0,337.4,-70.89999,3.773,3.736,25,22,19.76,59.45,70.0
490193,2020-12-03 03:14:24,48.0,337.7,-70.89999,3.775,3.738,25,22,19.83,59.64,80.0
490194,2020-12-03 03:14:34,48.4,337.8,-70.89999,3.778,3.74,25,22,19.89,59.85,90.0
490195,2020-12-03 03:14:44,48.4,337.8,-70.89999,3.78,3.741,25,22,19.96,60.05,100.0
490196,2020-12-03 03:14:54,48.4,338.2,-70.80002,3.781,3.742,25,22,20.03,60.25,110.0
490197,2020-12-03 03:15:04,48.8,338.2,-70.80002,3.783,3.744,26,22,20.09,60.45,120.0
490198,2020-12-03 03:15:14,48.8,338.3,-70.80002,3.785,3.745,26,22,20.16,60.66,130.0
490199,2020-12-03 03:15:24,49.2,338.6,-70.89999,3.787,3.747,26,22,20.23,60.86,140.0
490200,2020-12-03 03:15:34,49.2,338.8,-70.89999,3.788,3.749,26,22,20.29,61.05,150.0
490201,2020-12-03 03:15:44,49.6,338.9,-70.89999,3.791,3.75,26,22,20.36,61.28,160.0
490202,2020-12-03 03:15:54,49.6,338.9,-70.80002,3.792,3.752,26,22,20.43,61.46,170.0
490203,2020-12-03 03:16:04,49.6,339.1,-70.89999,3.794,3.752,26,22,20.49,61.66,180.0
490204,2020-12-03 03:16:14,50.0,339.3,-70.80002,3.796,3.754,26,22,20.57,61.87,190.0
490205,2020-12-03 03:16:24,50.0,339.4,-70.80002,3.798,3.756,26,22,20.63,62.07,200.0
490206,2020-12-03 03:16:34,50.4,339.6,-70.89999,3.8,3.757,26,22,20.7,62.27,210.0
490207,2020-12-03 03:16:44,50.4,339.7,-70.80002,3.801,3.759,26,22,20.77,62.48,220.0
490208,2020-12-03 03:16:54,50.4,339.9,-70.80002,3.802,3.761,26,22,20.83,62.68,230.0
490209,2020-12-03 03:17:04,50.8,340.0,-70.80002,3.805,3.762,26,22,20.9,62.87,240.0
490210,2020-12-03 03:17:14,50.8,340.2,-70.80002,3.807,3.764,26,22,20.97,63.1,250.0
490211,2020-12-03 03:17:24,51.2,340.3,-70.89999,3.809,3.765,26,22,21.03,63.28,260.0
490212,2020-12-03 03:17:34,51.2,340.5,-70.89999,3.81,3.766,26,22,21.1,63.48,270.0
490213,2020-12-03 03:17:44,51.2,340.7,-70.89999,3.813,3.768,26,22,21.17,63.69,280.0
490214,2020-12-03 03:17:54,51.6,340.8,-70.80002,3.815,3.769,26,22,21.23,63.88,290.0
490215,2020-12-03 03:18:04,51.6,341.0,-70.80002,3.816,3.771,26,22,21.3,64.09,300.0
490216,2020-12-03 03:18:14,52.0,341.1,-70.80002,3.819,3.773,26,23,21.37,64.29,310.0
490217,2020-12-03 03:18:24,52.0,341.3,-70.80002,3.821,3.775,26,23,21.44,64.49,320.0
490218,2020-12-03 03:18:34,52.0,341.4,-70.80002,3.822,3.776,26,23,21.5,64.68999,330.0
490219,2020-12-03 03:18:44,52.4,341.8,-70.89999,3.824,3.777,26,23,21.57,64.91,340.0
490220,2020-12-03 03:18:54,52.4,341.9,-70.80002,3.826,3.778,26,23,21.64,65.1,350.0
490221,2020-12-03 03:19:04,52.8,341.9,-70.80002,3.829,3.78,26,23,21.7,65.29,360.0
490222,2020-12-03 03:19:14,52.8,342.2,-70.80002,3.83,3.782,26,23,21.77,65.51,370.0
490223,2020-12-03 03:19:24,52.8,342.4,-70.80002,3.832,3.784,26,23,21.84,65.7,380.0
490224,2020-12-03 03:19:34,53.2,342.4,-70.80002,3.834,3.785,26,23,21.9,65.9,390.0
490225,2020-12-03 03:19:44,53.2,342.7,-70.80002,3.836,3.787,26,23,21.97,66.11,400.0
490226,2020-12-03 03:19:54,53.6,342.8,-70.80002,3.838,3.789,26,23,22.04,66.31,410.0
490227,2020-12-03 03:20:04,53.6,343.0,-70.89999,3.84,3.79,26,23,22.1,66.51,420.0
490228,2020-12-03 03:20:14,54.0,343.2,-70.80002,3.842,3.793,26,23,22.18,66.73,430.0
490229,2020-12-03 03:20:24,54.0,343.5,-70.89999,3.845,3.795,26,23,22.25,66.93,440.0
490230,2020-12-03 03:20:34,54.0,343.6,-70.80002,3.845,3.797,26,23,22.31,67.11,450.0
490231,2020-12-03 03:20:44,54.4,343.6,-70.80002,3.848,3.799,26,23,22.38,67.32,460.0
490232,2020-12-03 03:20:54,54.4,343.9,-70.80002,3.85,3.8,26,23,22.44,67.52,470.0
490233,2020-12-03 03:21:04,54.8,344.1,-70.80002,3.852,3.802,26,23,22.51,67.72,480.0
490234,2020-12-03 03:21:14,54.8,344.3,-70.89999,3.854,3.804,26,23,22.58,67.93,490.0
490235,2020-12-03 03:21:24,54.8,344.4,-70.89999,3.856,3.806,27,23,22.64,68.13,500.0
490236,2020-12-03 03:21:34,55.2,344.7,-70.80002,3.858,3.807,27,23,22.71,68.36,510.0
490237,2020-12-03 03:21:44,55.2,344.9,-70.89999,3.859,3.809,27,23,22.79,68.55,520.0
490238,2020-12-03 03:21:54,55.6,344.9,-70.89999,3.861,3.812,27,23,22.94,69.02,530.0
490239,2020-12-03 03:22:04,55.6,345.2,-70.80002,3.864,3.814,27,23,23.02,69.23,540.0
490240,2020-12-03 03:22:14,55.6,345.3,-70.80002,3.865,3.816,27,23,23.07,69.41,550.0
490241,2020-12-03 03:22:24,56.0,345.5,-70.80002,3.867,3.817,27,23,23.14,69.61,560.0
490242,2020-12-03 03:22:34,56.0,345.7,-70.89999,3.869,3.82,27,23,23.2,69.81,570.0
490243,2020-12-03 03:22:44,56.4,345.8,-70.89999,3.87,3.821,27,23,23.28,70.02,580.0
490244,2020-12-03 03:22:54,56.4,346.0,-70.80002,3.873,3.823,27,23,23.34,70.22,590.0
490245,2020-12-03 03:23:04,56.4,346.1,-70.89999,3.874,3.825,27,23,23.41,70.41,600.0
490246,2020-12-03 03:23:14,56.8,346.4,-70.89999,3.876,3.827,27,23,23.48,70.64,610.0
490247,2020-12-03 03:23:24,56.8,346.4,-70.80002,3.877,3.829,27,23,23.55,70.84,620.0
490248,2020-12-03 03:23:34,57.2,346.6,-70.89999,3.879,3.831,27,23,23.62,71.05,630.0
490249,2020-12-03 03:23:44,57.2,346.8,-70.89999,3.88,3.833,27,23,23.69,71.23,640.0
490250,2020-12-03 03:23:54,57.2,346.9,-70.89999,3.883,3.835,27,23,23.75,71.43,650.0
490251,2020-12-03 03:24:04,57.6,347.2,-70.80002,3.884,3.836,27,23,23.81,71.63,660.0
490252,2020-12-03 03:24:14,57.6,347.2,-70.89999,3.885,3.838,27,23,23.88,71.83,670.0
490253,2020-12-03 03:24:24,58.0,347.4,-70.89999,3.886,3.84,27,23,23.95,72.04,680.0
490254,2020-12-03 03:24:34,58.0,347.7,-70.89999,3.888,3.841,27,23,24.02,72.24,690.0
490255,2020-12-03 03:24:44,58.0,347.7,-70.80002,3.89,3.844,27,23,24.09,72.47,700.0
490256,2020-12-03 03:24:54,58.4,348.0,-70.80002,3.893,3.845,27,23,24.16,72.66,710.0
490257,2020-12-03 03:25:04,58.4,348.2,-70.80002,3.893,3.848,27,23,24.22,72.86,720.0
490258,2020-12-03 03:25:14,58.8,348.2,-70.89999,3.894,3.849,27,23,24.28,73.04,730.0
490259,2020-12-03 03:25:24,58.8,348.3,-70.80002,3.897,3.85,27,23,24.35,73.24,740.0
490260,2020-12-03 03:25:34,58.8,348.5,-70.80002,3.898,3.852,27,23,24.42,73.45,750.0
490261,2020-12-03 03:25:44,59.2,348.6,-70.80002,3.9,3.853,27,24,24.48,73.65,760.0
490262,2020-12-03 03:25:54,59.2,348.8,-70.89999,3.902,3.856,27,24,24.55,73.85,770.0
490263,2020-12-03 03:26:04,59.6,348.9,-70.89999,3.903,3.858,27,24,24.63,74.08,780.0
490264,2020-12-03 03:26:14,59.6,349.1,-70.80002,3.904,3.859,27,24,24.69,74.27,790.0
490265,2020-12-03 03:26:24,60.0,349.3,-70.89999,3.905,3.861,27,24,24.76,74.47,800.0
490266,2020-12-03 03:26:34,60.0,349.4,-70.89999,3.907,3.862,27,24,24.83,74.67,810.0
