number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
355786,2020-07-24 01:42:28,42.8,332.7,-60.10001,3.714,3.685,39,37,18.91,56.86,0.0
355787,2020-07-24 01:42:36,42.8,332.8,-60.10001,3.718,3.688,39,37,18.96,56.99,8.0
355788,2020-07-24 01:42:44,42.8,333.0,-60.10001,3.719,3.689,39,37,19.0,57.12,16.0
355789,2020-07-24 01:42:52,42.8,333.2,-60.10001,3.722,3.691,39,37,19.05,57.27,24.0
355790,2020-07-24 01:43:00,43.2,333.3,-60.0,3.722,3.691,39,37,19.09,57.41,32.0
355791,2020-07-24 01:43:08,43.2,333.3,-60.0,3.723,3.693,39,37,19.14,57.55,40.0
355792,2020-07-24 01:43:16,43.2,333.5,-60.10001,3.725,3.693,39,37,19.19,57.69,48.0
355793,2020-07-24 01:43:24,43.2,333.5,-60.10001,3.726,3.695,39,37,19.23,57.82,56.0
355794,2020-07-24 01:43:32,43.6,333.8,-60.10001,3.726,3.695,40,37,19.28,57.97,64.0
355795,2020-07-24 01:43:40,43.6,333.6,-60.0,3.728,3.696,40,37,19.32,58.1,72.0
355796,2020-07-24 01:43:48,43.6,333.8,-60.0,3.729,3.697,40,37,19.37,58.24,80.0
355797,2020-07-24 01:43:56,43.6,333.8,-60.0,3.73,3.698,40,37,19.42,58.37,88.0
355798,2020-07-24 01:44:04,44.0,333.9,-60.10001,3.73,3.699,40,37,19.46,58.5,96.0
355799,2020-07-24 01:44:12,44.0,333.9,-60.10001,3.731,3.699,40,37,19.5,58.63,104.0
355800,2020-07-24 01:44:20,44.0,334.1,-60.20001,3.731,3.7,40,37,19.55,58.77,112.0
355801,2020-07-24 01:44:28,44.0,334.1,-59.89999,3.733,3.701,40,37,19.6,58.93,120.0
355802,2020-07-24 01:44:36,44.4,334.2,-60.10001,3.733,3.701,40,37,19.65,59.05,128.0
355803,2020-07-24 01:44:44,44.4,334.2,-60.10001,3.734,3.703,40,37,19.69,59.21,136.0
355804,2020-07-24 01:44:52,44.4,334.2,-60.10001,3.735,3.703,40,37,19.73,59.34,144.0
355805,2020-07-24 01:45:00,44.4,334.4,-60.20001,3.735,3.704,40,37,19.78,59.48,152.0
355806,2020-07-24 01:45:08,44.8,334.6,-60.20001,3.737,3.704,40,37,19.83,59.61,160.0
355807,2020-07-24 01:45:16,44.8,334.6,-60.10001,3.737,3.704,40,37,19.87,59.74,168.0
355808,2020-07-24 01:45:24,44.8,334.6,-60.10001,3.737,3.706,40,37,19.92,59.89,176.0
355809,2020-07-24 01:45:32,44.8,334.7,-60.10001,3.739,3.706,40,37,19.96,60.02,184.0
355810,2020-07-24 01:45:40,45.2,334.9,-60.10001,3.739,3.707,40,37,20.01,60.16,192.0
355811,2020-07-24 01:45:48,45.2,334.9,-60.0,3.74,3.708,40,37,20.05,60.28,200.0
355812,2020-07-24 01:45:56,45.2,334.9,-60.10001,3.741,3.708,40,37,20.1,60.43,208.0
355813,2020-07-24 01:46:04,45.6,334.9,-60.20001,3.741,3.709,40,37,20.15,60.57,216.0
355814,2020-07-24 01:46:12,45.6,335.0,-59.89999,3.743,3.709,40,37,20.19,60.72,224.0
355815,2020-07-24 01:46:20,45.6,335.0,-59.89999,3.744,3.711,40,37,20.24,60.85,232.0
355816,2020-07-24 01:46:28,45.6,335.2,-60.20001,3.744,3.711,40,37,20.29,61.0,240.0
355817,2020-07-24 01:46:36,46.0,335.2,-59.89999,3.744,3.712,40,37,20.33,61.12,248.0
355818,2020-07-24 01:46:44,46.0,335.3,-60.10001,3.746,3.712,40,37,20.37,61.25,256.0
355819,2020-07-24 01:46:52,46.0,335.3,-60.0,3.747,3.713,40,37,20.42,61.41,264.0
355820,2020-07-24 01:47:00,46.0,335.3,-60.10001,3.747,3.714,40,37,20.47,61.53,272.0
