number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
564874,2021-03-17 06:03:45,62.4,348.6,-74.0,3.897,3.85,28,26,25.52,76.73,0.0
564875,2021-03-17 06:03:55,62.4,349.3,-74.0,3.903,3.857,28,26,25.59,76.93999,10.0
564876,2021-03-17 06:04:05,62.8,349.6,-74.0,3.907,3.862,28,26,25.65,77.13,20.0
564877,2021-03-17 06:04:15,62.8,349.9,-74.0,3.911,3.866,28,26,25.73,77.35,30.0
564878,2021-03-17 06:04:25,62.8,350.2,-74.0,3.914,3.868,28,26,25.8,77.56,40.0
564879,2021-03-17 06:04:35,63.2,350.5,-74.0,3.917,3.871,28,26,25.86,77.75999,50.0
564880,2021-03-17 06:04:45,63.2,350.7,-74.0,3.919,3.875,28,26,25.94,77.99,60.0
564881,2021-03-17 06:04:55,63.6,350.8,-74.0,3.92,3.878,28,26,26.01,78.2,70.0
564882,2021-03-17 06:05:05,63.6,351.0,-74.0,3.923,3.879,28,26,26.08,78.41,80.0
564883,2021-03-17 06:05:15,64.0,351.1,-74.0,3.924,3.881,28,26,26.16,78.64,90.0
564884,2021-03-17 06:05:25,64.0,351.4,-74.10001,3.927,3.883,28,26,26.22,78.83,100.0
564885,2021-03-17 06:05:35,64.0,351.6,-74.10001,3.928,3.885,28,26,26.29,79.06,110.0
564886,2021-03-17 06:05:45,64.4,351.8,-74.10001,3.93,3.886,28,26,26.36,79.24,120.0
564887,2021-03-17 06:05:55,64.4,351.9,-74.10001,3.932,3.888,28,26,26.42,79.45,130.0
564888,2021-03-17 06:06:05,64.8,351.9,-74.10001,3.933,3.89,28,26,26.5,79.66,140.0
564889,2021-03-17 06:06:15,64.8,352.2,-74.10001,3.935,3.892,28,26,26.57,79.9,150.0
564890,2021-03-17 06:06:25,65.2,352.4,-74.10001,3.937,3.894,28,26,26.65,80.11,160.0
564891,2021-03-17 06:06:35,65.2,352.4,-74.10001,3.939,3.896,28,26,26.72,80.32,170.0
564892,2021-03-17 06:06:45,65.2,352.7,-74.10001,3.94,3.897,28,26,26.79,80.53,180.0
564893,2021-03-17 06:06:55,65.6,352.7,-74.10001,3.942,3.899,28,26,26.85,80.75,190.0
564894,2021-03-17 06:07:05,65.6,353.0,-74.10001,3.944,3.9,28,26,26.92,80.93999,200.0
564895,2021-03-17 06:07:15,66.0,353.2,-74.10001,3.945,3.903,28,26,26.99,81.15,210.0
564896,2021-03-17 06:07:25,66.0,353.3,-74.20001,3.947,3.904,28,26,27.06,81.36,220.0
564897,2021-03-17 06:07:35,66.4,353.5,-74.20001,3.949,3.906,28,26,27.14,81.57,230.0
564898,2021-03-17 06:07:45,66.4,353.5,-74.10001,3.95,3.906,28,26,27.21,81.8,240.0
564899,2021-03-17 06:07:55,66.4,353.6,-74.10001,3.952,3.909,28,26,27.28,82.0,250.0
564900,2021-03-17 06:08:05,66.8,353.8,-74.10001,3.954,3.911,28,26,27.35,82.23,260.0
564901,2021-03-17 06:08:15,66.8,354.1,-74.10001,3.956,3.912,28,26,27.42,82.43999,270.0
