number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
89253,2019-10-01 06:35:11,71.6,356.0,-40.30002,3.968,3.935,36,34,32.39,97.38,0.0
89254,2019-10-01 06:35:19,71.6,356.4,-45.30002,3.977,3.942,36,34,32.43,97.49,8.0
89255,2019-10-01 06:35:27,71.6,356.6,-45.30002,3.979,3.944,36,34,32.47,97.61,16.0
89256,2019-10-01 06:35:35,71.6,356.8,-45.30002,3.981,3.946,36,34,32.5,97.71,24.0
89257,2019-10-01 06:35:43,72.0,356.9,-45.20001,3.982,3.947,36,34,32.53,97.81,32.0
89258,2019-10-01 06:35:51,72.0,356.9,-45.20001,3.983,3.948,36,34,32.57,97.91,40.0
89259,2019-10-01 06:35:59,72.0,357.1,-45.30002,3.983,3.948,36,34,32.6,98.00999,48.0
89260,2019-10-01 06:36:07,72.0,357.1,-45.20001,3.985,3.95,36,34,32.63,98.11,56.0
89261,2019-10-01 06:36:15,72.0,357.2,-45.20001,3.986,3.95,36,34,32.67,98.23,64.0
89262,2019-10-01 06:36:23,72.4,357.4,-45.20001,3.986,3.951,36,34,32.71,98.32999,72.0
89263,2019-10-01 06:36:31,72.4,357.4,-45.20001,3.987,3.952,36,34,32.74,98.43,80.0
89264,2019-10-01 06:36:39,72.4,357.4,-45.20001,3.989,3.953,36,34,32.77,98.53,88.0
89265,2019-10-01 06:36:47,72.4,357.5,-45.20001,3.989,3.954,36,34,32.81,98.64,96.0
89266,2019-10-01 06:36:55,72.4,357.7,-45.20001,3.99,3.956,36,34,32.84,98.74,104.0
89267,2019-10-01 06:37:03,72.8,357.7,-45.20001,3.991,3.957,36,34,32.88,98.84,112.0
89268,2019-10-01 06:37:11,72.8,357.7,-45.20001,3.992,3.957,36,34,32.91,98.93999,120.0
89269,2019-10-01 06:37:19,72.8,357.8,-45.20001,3.992,3.957,36,34,32.94,99.04,128.0
89270,2019-10-01 06:37:27,72.8,358.0,-45.20001,3.994,3.959,36,34,32.98,99.14,136.0
89271,2019-10-01 06:37:31,72.8,358.0,-45.20001,3.994,3.959,36,34,33.0,99.2,140.0
89272,2019-10-01 06:37:39,72.8,358.0,-45.20001,3.995,3.96,36,34,33.03,99.3,148.0
89273,2019-10-01 06:37:47,73.2,358.2,-45.20001,3.996,3.96,36,34,33.07,99.42,156.0
89274,2019-10-01 06:37:55,73.2,358.2,-45.20001,3.996,3.96,36,34,33.1,99.52,164.0
89275,2019-10-01 06:38:03,73.2,358.3,-45.20001,3.996,3.961,36,34,33.13,99.61,172.0
89276,2019-10-01 06:38:11,73.2,358.3,-45.20001,3.998,3.963,36,34,33.17,99.72,180.0
89277,2019-10-01 06:38:19,73.2,358.5,-45.20001,3.998,3.964,36,34,33.2,99.82,188.0
