number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
776149,2021-10-06 17:28:10,2.0,314.4,-60.70001,3.496,3.473,45,43,0.85,2.57,0.0
776150,2021-10-06 17:28:20,2.0,315.0,-60.70001,3.525,3.491,45,43,0.94,2.85,10.0
776151,2021-10-06 17:28:30,2.4,315.3,-60.70001,3.528,3.495,45,43,1.0,3.03,20.0
776152,2021-10-06 17:28:40,2.4,315.5,-60.70001,3.531,3.497,45,43,1.06,3.19,30.0
776153,2021-10-06 17:28:50,2.4,315.8,-60.60001,3.533,3.499,45,43,1.11,3.35,40.0
776154,2021-10-06 17:29:00,2.8,316.0,-60.60001,3.535,3.501,45,43,1.17,3.51,50.0
776155,2021-10-06 17:29:10,2.8,316.0,-60.70001,3.537,3.503,45,43,1.22,3.69,60.0
776156,2021-10-06 17:29:20,2.8,316.1,-60.60001,3.539,3.504,45,43,1.28,3.85,70.0
776157,2021-10-06 17:29:30,3.2,316.3,-60.70001,3.54,3.505,45,43,1.35,4.05,80.0
776158,2021-10-06 17:29:40,3.2,316.4,-60.60001,3.543,3.507,45,43,1.39,4.21,90.0
776159,2021-10-06 17:29:50,3.2,316.6,-60.60001,3.544,3.509,45,43,1.46,4.39,100.0
776160,2021-10-06 17:30:00,3.6,316.7,-60.60001,3.545,3.509,45,43,1.51,4.55,110.0
776161,2021-10-06 17:30:10,3.6,316.9,-60.60001,3.547,3.511,45,43,1.57,4.73,120.0
776162,2021-10-06 17:30:20,3.6,317.1,-60.60001,3.549,3.511,45,43,1.62,4.88,130.0
776163,2021-10-06 17:30:30,4.0,317.1,-60.60001,3.55,3.513,45,43,1.67,5.05,140.0
776164,2021-10-06 17:30:40,4.0,317.2,-60.60001,3.552,3.513,45,43,1.74,5.23,150.0
776165,2021-10-06 17:30:50,4.0,317.4,-60.70001,3.553,3.515,45,43,1.79,5.39,160.0
776166,2021-10-06 17:31:00,4.4,317.5,-60.60001,3.554,3.516,45,43,1.85,5.59,170.0
776167,2021-10-06 17:31:10,4.4,317.5,-60.60001,3.556,3.517,45,43,1.92,5.77,180.0
776168,2021-10-06 17:31:20,4.4,317.7,-60.70001,3.558,3.518,45,43,1.97,5.95,190.0
