number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
732291,2021-08-20 18:56:56,43.2,331.3,-69.89999,3.704,3.68,38,36,19.18,57.68,0.0
732292,2021-08-20 18:57:04,43.2,331.7,-69.89999,3.709,3.684,38,36,19.25,57.88,8.0
732293,2021-08-20 18:57:12,43.6,331.9,-69.89999,3.711,3.686,38,36,19.31,58.06,16.0
732294,2021-08-20 18:57:20,43.6,332.1,-70.0,3.714,3.688,38,36,19.36,58.24,24.0
732295,2021-08-20 18:57:28,43.6,332.2,-70.0,3.715,3.689,38,36,19.42,58.42,32.0
732296,2021-08-20 18:57:36,44.0,332.4,-70.0,3.717,3.691,38,37,19.49,58.6,40.0
732297,2021-08-20 18:57:44,44.0,332.4,-70.0,3.718,3.691,38,37,19.54,58.78,48.0
732298,2021-08-20 18:57:52,44.0,332.5,-70.0,3.718,3.693,38,37,19.6,58.96,56.0
732299,2021-08-20 18:58:00,44.4,332.7,-70.0,3.719,3.693,38,37,19.67,59.14,64.0
732300,2021-08-20 18:58:08,44.4,332.7,-70.0,3.721,3.695,38,37,19.72,59.32,72.0
732301,2021-08-20 18:58:16,44.4,332.8,-70.0,3.722,3.696,38,37,19.78,59.5,80.0
732302,2021-08-20 18:58:24,44.8,332.8,-70.0,3.723,3.697,38,37,19.85,59.67,88.0
732303,2021-08-20 18:58:32,44.8,333.0,-70.0,3.723,3.698,38,37,19.9,59.85,96.0
732304,2021-08-20 18:58:40,44.8,333.0,-70.0,3.724,3.699,38,37,19.96,60.03,104.0
732305,2021-08-20 18:58:48,45.2,333.2,-70.0,3.726,3.7,38,37,20.02,60.21,112.0
732306,2021-08-20 18:58:56,45.2,333.2,-70.0,3.727,3.7,38,37,20.08,60.39,120.0
732307,2021-08-20 18:59:04,45.2,333.3,-70.0,3.727,3.701,38,37,20.14,60.57,128.0
732308,2021-08-20 18:59:12,45.6,333.3,-70.0,3.728,3.701,38,37,20.2,60.75,136.0
732309,2021-08-20 18:59:20,45.6,333.3,-70.0,3.729,3.702,38,37,20.26,60.93,144.0
732310,2021-08-20 18:59:28,45.6,333.5,-70.0,3.729,3.703,38,37,20.32,61.11,152.0
732311,2021-08-20 18:59:36,46.0,333.5,-70.0,3.73,3.704,38,37,20.38,61.29,160.0
732312,2021-08-20 18:59:44,46.0,333.6,-70.0,3.731,3.704,38,37,20.44,61.47,168.0
732313,2021-08-20 18:59:52,46.0,333.8,-70.0,3.733,3.705,38,37,20.5,61.65,176.0
732314,2021-08-20 19:00:00,46.4,333.8,-70.10001,3.734,3.706,38,37,20.56,61.83,184.0
732315,2021-08-20 19:00:08,46.4,333.9,-70.10001,3.733,3.707,38,37,20.62,62.01,192.0
732316,2021-08-20 19:00:16,46.4,333.9,-70.10001,3.735,3.708,38,37,20.67,62.19,200.0
732317,2021-08-20 19:00:24,46.8,333.9,-70.0,3.736,3.709,38,37,20.74,62.37,208.0
732318,2021-08-20 19:00:32,46.8,333.9,-70.0,3.737,3.709,39,37,20.8,62.55,216.0
732319,2021-08-20 19:00:40,46.8,334.1,-70.0,3.737,3.71,39,37,20.85,62.73,224.0
732320,2021-08-20 19:00:48,47.2,334.2,-70.10001,3.738,3.711,39,37,20.92,62.92,232.0
732321,2021-08-20 19:00:56,47.2,334.2,-70.10001,3.739,3.711,39,37,20.98,63.08,240.0
732322,2021-08-20 19:01:04,47.2,334.2,-70.0,3.74,3.713,39,37,21.03,63.26,248.0
732323,2021-08-20 19:01:12,47.6,334.4,-70.10001,3.74,3.714,39,37,21.1,63.44,256.0
732324,2021-08-20 19:01:20,47.6,334.4,-70.0,3.74,3.714,39,37,21.16,63.62,264.0
732325,2021-08-20 19:01:28,47.6,334.6,-70.10001,3.742,3.715,39,37,21.21,63.8,272.0
732326,2021-08-20 19:01:36,48.0,334.6,-70.10001,3.743,3.716,39,37,21.28,63.98,280.0
732327,2021-08-20 19:01:44,48.0,334.7,-70.0,3.744,3.716,39,37,21.33,64.16,288.0
732328,2021-08-20 19:01:53,48.0,334.7,-70.10001,3.744,3.716,39,37,21.39,64.34,297.0
732329,2021-08-20 19:02:01,48.4,334.7,-70.0,3.745,3.718,39,37,21.46,64.52,305.0
732330,2021-08-20 19:02:09,48.4,334.9,-70.10001,3.746,3.719,39,37,21.51,64.7,313.0
732331,2021-08-20 19:02:17,48.4,334.9,-70.10001,3.747,3.719,39,37,21.58,64.91,321.0
732332,2021-08-20 19:02:25,48.8,335.0,-70.10001,3.747,3.72,39,37,21.64,65.09,329.0
732333,2021-08-20 19:02:33,48.8,335.0,-70.0,3.748,3.721,39,37,21.71,65.27,337.0
732334,2021-08-20 19:02:41,48.8,335.2,-70.0,3.749,3.721,39,37,21.75,65.42,345.0
732335,2021-08-20 19:02:49,49.2,335.2,-70.10001,3.75,3.722,39,37,21.82,65.6,353.0
732336,2021-08-20 19:02:57,49.2,335.3,-70.10001,3.751,3.723,39,37,21.87,65.78,361.0
732337,2021-08-20 19:03:05,49.2,335.3,-70.10001,3.751,3.724,39,37,21.93,65.96,369.0
732338,2021-08-20 19:03:13,49.6,335.5,-70.0,3.752,3.724,39,37,21.99,66.14,377.0
732339,2021-08-20 19:03:21,49.6,335.5,-70.10001,3.754,3.725,39,37,22.05,66.32,385.0
732340,2021-08-20 19:03:29,49.6,335.7,-70.0,3.754,3.726,39,37,22.11,66.51,393.0
732341,2021-08-20 19:03:37,50.0,335.7,-70.10001,3.754,3.726,39,37,22.17,66.68999,401.0
732342,2021-08-20 19:03:45,50.0,335.8,-70.0,3.755,3.727,39,37,22.24,66.87,409.0
732343,2021-08-20 19:03:53,50.0,335.8,-70.10001,3.757,3.729,39,37,22.3,67.07,417.0
732344,2021-08-20 19:04:01,50.4,336.0,-70.0,3.758,3.729,39,37,22.36,67.25,425.0
732345,2021-08-20 19:04:09,50.4,336.0,-70.10001,3.758,3.73,39,37,22.42,67.41,433.0
732346,2021-08-20 19:04:17,50.4,336.1,-70.10001,3.759,3.731,39,37,22.47,67.59,441.0
732347,2021-08-20 19:04:25,50.8,336.1,-70.10001,3.76,3.732,39,37,22.53,67.77,449.0
732348,2021-08-20 19:04:33,50.8,336.1,-70.10001,3.761,3.733,39,38,22.6,67.95,457.0
732349,2021-08-20 19:04:41,51.2,336.3,-70.0,3.762,3.733,39,38,22.65,68.13,465.0
732350,2021-08-20 19:04:49,51.2,336.3,-70.0,3.762,3.733,39,38,22.71,68.31,473.0
732351,2021-08-20 19:04:57,51.2,336.4,-70.0,3.763,3.735,39,38,22.78,68.5,481.0
732352,2021-08-20 19:05:05,51.6,336.4,-70.10001,3.765,3.735,39,38,22.84,68.68,489.0
732353,2021-08-20 19:05:13,51.6,336.6,-70.10001,3.765,3.737,39,38,22.9,68.88,497.0
732354,2021-08-20 19:05:21,51.6,336.6,-70.0,3.766,3.737,39,38,22.96,69.06,505.0
732355,2021-08-20 19:05:29,52.0,336.8,-70.0,3.767,3.738,39,38,23.02,69.24,513.0
732356,2021-08-20 19:05:37,52.0,336.9,-70.10001,3.768,3.739,39,38,23.09,69.43,521.0
732357,2021-08-20 19:05:45,52.0,336.9,-70.0,3.769,3.74,39,38,23.14,69.61,529.0
732358,2021-08-20 19:05:53,52.4,336.9,-70.0,3.769,3.741,39,38,23.2,69.75,537.0
732359,2021-08-20 19:06:01,52.4,337.1,-70.10001,3.771,3.742,39,38,23.26,69.95,545.0
732360,2021-08-20 19:06:09,52.4,337.2,-70.10001,3.772,3.742,39,38,23.32,70.13,553.0
732361,2021-08-20 19:06:17,52.8,337.2,-70.0,3.772,3.744,39,38,23.38,70.31,561.0
732362,2021-08-20 19:06:25,52.8,337.4,-70.0,3.774,3.744,39,38,23.44,70.49,569.0
732363,2021-08-20 19:06:33,52.8,337.4,-70.0,3.775,3.745,39,38,23.5,70.67,577.0
732364,2021-08-20 19:06:41,53.2,337.4,-70.10001,3.776,3.746,39,38,23.57,70.86,585.0
732365,2021-08-20 19:06:49,53.2,337.5,-70.0,3.776,3.747,39,38,23.63,71.06,593.0
732366,2021-08-20 19:06:57,53.2,337.7,-70.0,3.778,3.748,39,38,23.69,71.24,601.0
732367,2021-08-20 19:07:05,53.6,337.7,-70.0,3.779,3.749,39,38,23.75,71.43,609.0
732368,2021-08-20 19:07:13,53.6,337.8,-70.0,3.78,3.75,39,38,23.82,71.61,617.0
732369,2021-08-20 19:07:21,53.6,337.8,-70.0,3.781,3.751,39,38,23.87,71.79,625.0
732370,2021-08-20 19:07:29,54.0,338.0,-70.10001,3.781,3.752,39,38,23.92,71.96,633.0
