number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
359041,2020-07-10 03:31:18,28.8,329.7,-71.20001,3.686,3.661,39,37,12.13,36.46,0.0
359042,2020-07-10 03:31:28,28.8,330.0,-71.20001,3.69,3.666,39,37,12.19,36.67,10.0
359043,2020-07-10 03:31:38,28.8,330.3,-71.10001,3.693,3.668,39,37,12.26,36.85,20.0
359044,2020-07-10 03:31:48,29.2,330.5,-71.10001,3.696,3.67,39,37,12.32,37.05,30.0
359045,2020-07-10 03:31:58,29.2,330.7,-71.20001,3.697,3.672,39,37,12.39,37.26,40.0
359046,2020-07-10 03:32:08,29.6,330.7,-71.10001,3.699,3.672,39,37,12.46,37.46,50.0
359047,2020-07-10 03:32:18,29.6,330.8,-71.20001,3.699,3.673,39,37,12.52,37.66,60.0
359048,2020-07-10 03:32:28,29.6,330.8,-71.20001,3.7,3.674,39,37,12.59,37.88,70.0
359049,2020-07-10 03:32:38,30.0,330.8,-71.20001,3.7,3.675,39,37,12.67,38.08,80.0
359050,2020-07-10 03:32:48,30.0,330.8,-71.20001,3.701,3.675,39,37,12.73,38.28,90.0
359051,2020-07-10 03:32:58,30.4,331.0,-71.20001,3.701,3.676,39,37,12.8,38.48,100.0
359052,2020-07-10 03:33:08,30.4,331.0,-71.20001,3.702,3.677,39,37,12.85,38.66,110.0
359053,2020-07-10 03:33:18,30.4,331.1,-71.20001,3.702,3.677,39,37,12.93,38.86,120.0
359054,2020-07-10 03:33:28,30.8,331.1,-71.20001,3.704,3.678,39,37,12.99,39.06,130.0
359055,2020-07-10 03:33:38,30.8,331.1,-71.20001,3.703,3.678,39,37,13.05,39.26,140.0
359056,2020-07-10 03:33:48,30.8,331.1,-71.20001,3.704,3.679,39,37,13.13,39.46,150.0
359057,2020-07-10 03:33:58,31.2,331.1,-71.20001,3.704,3.679,39,37,13.2,39.68,160.0
359058,2020-07-10 03:34:08,31.2,331.3,-71.20001,3.705,3.68,39,37,13.26,39.89,170.0
359059,2020-07-10 03:34:18,31.6,331.3,-71.20001,3.706,3.68,39,37,13.34,40.09,180.0
359060,2020-07-10 03:34:28,31.6,331.4,-71.30002,3.707,3.68,39,37,13.4,40.29,190.0
359061,2020-07-10 03:34:38,31.6,331.4,-71.20001,3.707,3.681,39,37,13.46,40.49,200.0
359062,2020-07-10 03:34:48,32.0,331.4,-71.20001,3.707,3.682,39,37,13.53,40.68,210.0
359063,2020-07-10 03:34:58,32.0,331.6,-71.20001,3.708,3.682,39,37,13.59,40.88,220.0
359064,2020-07-10 03:35:08,32.4,331.6,-71.20001,3.708,3.683,39,37,13.67,41.08,230.0
359065,2020-07-10 03:35:18,32.4,331.6,-71.30002,3.709,3.683,39,37,13.73,41.29,240.0
359066,2020-07-10 03:35:28,32.4,331.7,-71.20001,3.71,3.684,39,37,13.8,41.5,250.0
359067,2020-07-10 03:35:38,32.8,331.7,-71.30002,3.711,3.685,39,37,13.87,41.7,260.0
359068,2020-07-10 03:35:48,32.8,331.7,-71.20001,3.711,3.685,39,37,13.94,41.91,270.0
359069,2020-07-10 03:35:58,33.2,331.7,-71.30002,3.711,3.686,39,37,14.0,42.11,280.0
359070,2020-07-10 03:36:08,33.2,331.9,-71.20001,3.712,3.686,39,37,14.07,42.29,290.0
359071,2020-07-10 03:36:18,33.2,331.9,-71.30002,3.713,3.687,39,37,14.13,42.49,300.0
359072,2020-07-10 03:36:28,33.6,331.9,-71.30002,3.714,3.687,39,37,14.2,42.68,310.0
359073,2020-07-10 03:36:38,33.6,332.1,-71.30002,3.714,3.688,39,37,14.26,42.88,320.0
359074,2020-07-10 03:36:48,34.0,332.1,-71.30002,3.714,3.689,39,37,14.33,43.09,330.0
359075,2020-07-10 03:36:58,34.0,332.1,-71.30002,3.715,3.689,39,37,14.41,43.31,340.0
359076,2020-07-10 03:37:08,34.0,332.2,-71.30002,3.715,3.69,39,37,14.47,43.51,350.0
359077,2020-07-10 03:37:18,34.4,332.2,-71.30002,3.716,3.69,39,37,14.54,43.71,360.0
359078,2020-07-10 03:37:28,34.4,332.4,-71.30002,3.717,3.691,39,37,14.61,43.91,370.0
359079,2020-07-10 03:37:38,34.8,332.4,-71.30002,3.717,3.691,40,37,14.67,44.11,380.0
359080,2020-07-10 03:37:48,34.8,332.4,-71.30002,3.717,3.692,40,37,14.74,44.32,390.0
359081,2020-07-10 03:37:58,34.8,332.4,-71.30002,3.718,3.692,40,37,14.79,44.49,400.0
359082,2020-07-10 03:38:08,35.2,332.4,-71.30002,3.719,3.693,40,37,14.87,44.69,410.0
359083,2020-07-10 03:38:18,35.2,332.5,-71.30002,3.719,3.693,40,37,14.93,44.9,420.0
359084,2020-07-10 03:38:28,35.6,332.5,-71.30002,3.72,3.694,40,37,15.0,45.11,430.0
359085,2020-07-10 03:38:38,35.6,332.7,-71.30002,3.721,3.695,40,37,15.07,45.31,440.0
359086,2020-07-10 03:38:48,35.6,332.7,-71.30002,3.721,3.695,40,37,15.14,45.51,450.0
359087,2020-07-10 03:38:58,36.0,332.7,-71.30002,3.722,3.696,40,37,15.2,45.71,460.0
359088,2020-07-10 03:39:08,36.0,332.8,-71.30002,3.722,3.697,40,38,15.28,45.92,470.0
359089,2020-07-10 03:39:18,36.4,332.8,-71.30002,3.723,3.697,40,38,15.34,46.12,480.0
359090,2020-07-10 03:39:28,36.4,332.8,-71.30002,3.724,3.697,40,38,15.41,46.3,490.0
359091,2020-07-10 03:39:38,36.4,333.0,-71.30002,3.724,3.698,40,38,15.47,46.51,500.0
359092,2020-07-10 03:39:48,36.8,333.0,-71.30002,3.725,3.699,40,38,15.53,46.71,510.0
359093,2020-07-10 03:39:58,36.8,333.2,-71.30002,3.726,3.7,40,38,15.61,46.93,520.0
359094,2020-07-10 03:40:08,37.2,333.2,-71.30002,3.727,3.7,40,38,15.68,47.13,530.0
359095,2020-07-10 03:40:18,37.2,333.2,-71.30002,3.728,3.701,40,38,15.74,47.33,540.0
359096,2020-07-10 03:40:28,37.2,333.3,-71.30002,3.728,3.701,40,38,15.81,47.53,550.0
359097,2020-07-10 03:40:38,37.6,333.3,-71.30002,3.729,3.702,40,38,15.88,47.74,560.0
359098,2020-07-10 03:40:48,37.6,333.3,-71.30002,3.729,3.703,40,38,15.94,47.94,570.0
359099,2020-07-10 03:40:58,37.6,333.5,-71.30002,3.73,3.703,40,38,16.01,48.13,580.0
359100,2020-07-10 03:41:08,38.0,333.5,-71.30002,3.731,3.704,40,38,16.07,48.33,590.0
359101,2020-07-10 03:41:18,38.0,333.5,-71.39999,3.731,3.704,40,38,16.14,48.52,600.0
359102,2020-07-10 03:41:28,38.4,333.6,-71.39999,3.733,3.705,40,38,16.22,48.75,610.0
359103,2020-07-10 03:41:38,38.4,333.6,-71.30002,3.733,3.705,40,38,16.28,48.95,620.0
359104,2020-07-10 03:41:48,38.4,333.6,-71.30002,3.733,3.706,40,38,16.35,49.15,630.0
359105,2020-07-10 03:41:58,38.8,333.8,-71.30002,3.734,3.707,40,38,16.42,49.36,640.0
359106,2020-07-10 03:42:08,38.8,333.8,-71.30002,3.735,3.708,40,38,16.48,49.56,650.0
359107,2020-07-10 03:42:18,39.2,333.9,-71.30002,3.736,3.708,40,38,16.55,49.76,660.0
359108,2020-07-10 03:42:29,39.2,333.9,-71.30002,3.736,3.709,40,38,16.61,49.95,671.0
359109,2020-07-10 03:42:39,39.2,333.9,-71.30002,3.737,3.71,40,38,16.68,50.14,681.0
359110,2020-07-10 03:42:49,39.6,334.1,-71.30002,3.737,3.71,40,38,16.74,50.34,691.0
359111,2020-07-10 03:42:59,39.6,334.1,-71.30002,3.738,3.711,40,38,16.81,50.55,701.0
359112,2020-07-10 03:43:09,40.0,334.2,-71.39999,3.739,3.711,40,38,16.88,50.75,711.0
