number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
591678,2021-02-08 07:50:08,43.2,334.7,-70.20001,3.739,3.705,27,25,17.22,51.77,0.0
591679,2021-02-08 07:50:18,43.6,335.0,-70.39999,3.743,3.711,27,25,17.29,51.98,10.0
591680,2021-02-08 07:50:28,43.6,335.2,-70.39999,3.745,3.713,27,25,17.35,52.16,20.0
591681,2021-02-08 07:50:38,44.0,335.5,-70.20001,3.749,3.715,27,25,17.42,52.36,30.0
591682,2021-02-08 07:50:48,44.0,335.7,-70.30002,3.75,3.717,27,25,17.48,52.56,40.0
591683,2021-02-08 07:50:58,44.0,335.8,-70.20001,3.752,3.719,27,25,17.55,52.76,50.0
591684,2021-02-08 07:51:08,44.4,336.0,-70.30002,3.754,3.72,27,25,17.6,52.93,60.0
591685,2021-02-08 07:51:18,44.4,336.1,-70.30002,3.755,3.721,27,25,17.68,53.15,70.0
591686,2021-02-08 07:51:28,44.8,336.3,-70.20001,3.756,3.722,27,25,17.75,53.36,80.0
591687,2021-02-08 07:51:38,44.8,336.4,-70.20001,3.759,3.724,27,25,17.81,53.55,90.0
591688,2021-02-08 07:51:48,45.2,336.4,-70.10001,3.759,3.726,27,25,17.88,53.75,100.0
591689,2021-02-08 07:51:58,45.2,336.6,-70.10001,3.761,3.726,27,25,17.94,53.94,110.0
591690,2021-02-08 07:52:08,45.2,336.8,-70.30002,3.762,3.728,27,25,18.01,54.15,120.0
591691,2021-02-08 07:52:18,45.6,336.9,-70.30002,3.764,3.729,27,25,18.08,54.35,130.0
591692,2021-02-08 07:52:28,45.6,337.1,-70.30002,3.766,3.73,27,25,18.14,54.54,140.0
591693,2021-02-08 07:52:38,46.0,337.2,-70.30002,3.766,3.73,27,25,18.21,54.74,150.0
591694,2021-02-08 07:52:48,46.0,337.2,-70.30002,3.767,3.733,27,25,18.27,54.94,160.0
591695,2021-02-08 07:52:58,46.0,337.4,-70.20001,3.769,3.734,27,25,18.34,55.14,170.0
591696,2021-02-08 07:53:08,46.4,337.5,-70.20001,3.771,3.735,27,25,18.41,55.34,180.0
591697,2021-02-08 07:53:18,46.4,337.7,-70.30002,3.772,3.736,27,25,18.47,55.53,190.0
591698,2021-02-08 07:53:28,46.8,337.7,-70.20001,3.773,3.738,27,25,18.54,55.73,200.0
591699,2021-02-08 07:53:38,46.8,337.8,-70.20001,3.774,3.738,27,25,18.6,55.94,210.0
591700,2021-02-08 07:53:48,47.2,338.0,-70.10001,3.776,3.74,27,25,18.68,56.14,220.0
