number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
631605,2021-08-22 01:06:32,38.0,329.7,-2.5,3.67,3.658,40,37,17.17,51.65,0.0
631606,2021-08-22 01:06:42,38.0,329.7,-3.600006,3.668,3.657,40,37,17.2,51.72,10.0
631607,2021-08-22 01:06:52,38.0,331.1,-42.30002,3.667,3.656,40,37,17.21,51.77,20.0
631608,2021-08-22 01:07:02,38.0,331.6,-61.0,3.668,3.658,40,37,17.24,51.84,30.0
631609,2021-08-22 01:07:12,38.0,329.9,-2.700012,3.669,3.657,40,37,17.25,51.89,40.0
631610,2021-08-22 01:07:22,38.0,329.9,-2.700012,3.668,3.658,40,37,17.27,51.93,50.0
631611,2021-08-22 01:07:32,38.0,329.9,-2.700012,3.674,3.661,40,37,17.3,52.02,60.0
631612,2021-08-22 01:07:42,38.4,330.2,-8.5,3.705,3.678,40,37,17.32,52.09,70.0
631613,2021-08-22 01:07:52,38.4,331.7,-60.70001,3.704,3.676,40,37,17.34,52.15,80.0
631614,2021-08-22 01:08:02,38.4,330.0,-2.300018,3.708,3.679,40,37,17.37,52.24,90.0
631615,2021-08-22 01:08:12,38.4,331.9,-61.0,3.672,3.661,40,37,17.39,52.3,100.0
631616,2021-08-22 01:08:22,38.4,330.2,-2.600006,3.693,3.672,40,37,17.41,52.37,110.0
631617,2021-08-22 01:08:32,38.4,332.1,-60.80002,3.672,3.661,40,37,17.43,52.43,120.0
631618,2021-08-22 01:08:42,38.4,332.2,-60.70001,3.672,3.661,40,37,17.46,52.5,130.0
631619,2021-08-22 01:08:52,38.8,330.2,-2.100006,3.674,3.662,40,37,17.49,52.58,140.0
631620,2021-08-22 01:09:02,38.8,330.3,-3.800018,3.698,3.676,40,37,17.5,52.65,150.0
631621,2021-08-22 01:09:12,38.8,332.2,-60.80002,3.711,3.681,40,37,17.53,52.71,160.0
631622,2021-08-22 01:09:22,38.8,330.3,-2.399994,3.676,3.665,40,37,17.56,52.8,170.0
631623,2021-08-22 01:09:32,38.8,330.3,-2.399994,3.707,3.681,40,37,17.58,52.87,180.0
631624,2021-08-22 01:09:42,38.8,330.3,-2.399994,3.714,3.683,40,37,17.6,52.95,190.0
631625,2021-08-22 01:09:52,38.8,332.2,-60.89999,3.675,3.663,40,37,17.63,53.02,200.0
631626,2021-08-22 01:10:02,38.8,332.2,-60.80002,3.675,3.664,40,37,17.65,53.08,210.0
631627,2021-08-22 01:10:12,39.2,330.5,-2.399994,3.686,3.67,40,37,17.67,53.15,220.0
631628,2021-08-22 01:10:22,39.2,330.5,-3.600006,3.708,3.681,40,37,17.7,53.23,230.0
631629,2021-08-22 01:10:32,39.2,332.4,-60.89999,3.714,3.684,40,37,17.72,53.3,240.0
631630,2021-08-22 01:10:42,39.2,330.5,-3.600006,3.676,3.665,40,37,17.75,53.39,250.0
631631,2021-08-22 01:10:52,39.2,330.7,-4.800018,3.712,3.684,40,37,17.77,53.45,260.0
631632,2021-08-22 01:11:02,39.2,332.4,-60.5,3.715,3.686,40,37,17.81,53.55,270.0
