number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
260369,2020-02-27 23:50:33,32.4,329.9,-70.30002,3.687,3.661,27,25,14.3,43.0,0.0
260370,2020-02-27 23:50:41,32.4,330.2,-70.39999,3.691,3.663,27,25,14.36,43.16,8.0
260371,2020-02-27 23:50:49,32.4,330.5,-70.39999,3.693,3.666,27,25,14.41,43.32,16.0
260372,2020-02-27 23:50:57,32.4,330.5,-70.30002,3.695,3.668,27,25,14.46,43.47,24.0
260373,2020-02-27 23:51:05,32.8,330.7,-70.39999,3.697,3.669,27,25,14.51,43.65,32.0
260374,2020-02-27 23:51:13,32.8,330.8,-70.30002,3.697,3.67,27,25,14.57,43.81,40.0
260375,2020-02-27 23:51:21,32.8,331.0,-70.39999,3.699,3.671,27,25,14.62,43.98,48.0
260376,2020-02-27 23:51:29,33.2,331.0,-70.30002,3.7,3.672,27,25,14.68,44.13,56.0
260377,2020-02-27 23:51:37,33.2,331.1,-70.30002,3.7,3.672,27,25,14.74,44.3,64.0
260378,2020-02-27 23:51:45,33.2,331.1,-70.10001,3.702,3.674,27,25,14.79,44.46,72.0
260379,2020-02-27 23:51:53,33.6,331.1,-70.39999,3.702,3.674,27,25,14.84,44.61,80.0
260380,2020-02-27 23:52:01,33.6,331.3,-70.20001,3.703,3.675,27,26,14.89,44.76,88.0
260381,2020-02-27 23:52:09,33.6,331.3,-70.30002,3.704,3.676,27,26,14.94,44.92,96.0
260382,2020-02-27 23:52:17,33.6,331.4,-70.20001,3.704,3.676,27,26,15.0,45.08,104.0
260383,2020-02-27 23:52:25,34.0,331.4,-70.30002,3.704,3.677,27,26,15.05,45.23,112.0
260384,2020-02-27 23:52:33,34.0,331.6,-70.30002,3.706,3.677,27,26,15.11,45.43,120.0
260385,2020-02-27 23:52:41,34.0,331.6,-70.30002,3.706,3.679,27,26,15.15,45.57,128.0
260386,2020-02-27 23:52:49,34.4,331.6,-70.30002,3.707,3.679,27,26,15.21,45.74,136.0
260387,2020-02-27 23:52:57,34.4,331.7,-70.20001,3.708,3.679,27,26,15.26,45.89,144.0
260388,2020-02-27 23:53:05,34.4,331.7,-70.5,3.708,3.68,27,26,15.32,46.06,152.0
260389,2020-02-27 23:53:13,34.8,331.7,-70.5,3.709,3.681,27,26,15.38,46.23,160.0
260390,2020-02-27 23:53:21,34.8,331.9,-70.20001,3.709,3.681,27,26,15.43,46.38,168.0
260391,2020-02-27 23:53:29,34.8,331.9,-70.30002,3.71,3.682,27,26,15.47,46.51,176.0
260392,2020-02-27 23:53:37,34.8,331.9,-70.39999,3.71,3.682,27,26,15.53,46.68,184.0
260393,2020-02-27 23:53:45,35.2,332.1,-70.30002,3.711,3.683,27,26,15.58,46.84,192.0
260394,2020-02-27 23:53:53,35.2,332.1,-70.30002,3.71,3.683,28,26,15.64,47.0,200.0
260395,2020-02-27 23:54:01,35.2,332.2,-70.30002,3.712,3.684,28,26,15.69,47.18,208.0
260396,2020-02-27 23:54:09,35.6,332.2,-70.39999,3.712,3.684,28,26,15.75,47.35,216.0
260397,2020-02-27 23:54:17,35.6,332.2,-70.10001,3.713,3.685,28,26,15.79,47.49,224.0
260398,2020-02-27 23:54:25,35.6,332.4,-70.5,3.714,3.686,28,26,15.85,47.66,232.0
260399,2020-02-27 23:54:33,36.0,332.2,-70.5,3.714,3.686,28,26,15.9,47.82,240.0
260400,2020-02-27 23:54:41,36.0,332.4,-70.10001,3.714,3.686,28,26,15.96,47.98,248.0
260401,2020-02-27 23:54:49,36.0,332.4,-70.39999,3.717,3.687,28,26,16.01,48.14,256.0
260402,2020-02-27 23:54:57,36.4,332.4,-70.30002,3.717,3.687,28,26,16.07,48.31,264.0
260403,2020-02-27 23:55:05,36.4,332.5,-70.20001,3.717,3.688,28,26,16.12,48.47,272.0
260404,2020-02-27 23:55:13,36.4,332.7,-70.30002,3.717,3.688,28,26,16.17,48.6,280.0
260405,2020-02-27 23:55:21,36.4,332.7,-70.30002,3.718,3.689,28,26,16.22,48.76,288.0
260406,2020-02-27 23:55:29,36.8,332.7,-70.30002,3.718,3.689,28,26,16.27,48.94,296.0
260407,2020-02-27 23:55:37,36.8,332.7,-70.30002,3.719,3.691,28,26,16.33,49.11,304.0
260408,2020-02-27 23:55:45,36.8,332.8,-70.20001,3.719,3.69,28,26,16.39,49.27,312.0
260409,2020-02-27 23:55:53,37.2,332.8,-70.10001,3.719,3.69,28,26,16.44,49.43,320.0
260410,2020-02-27 23:56:01,37.2,332.8,-70.39999,3.721,3.692,28,26,16.49,49.57,328.0
260411,2020-02-27 23:56:09,37.2,333.0,-70.20001,3.722,3.692,28,26,16.54,49.74,336.0
260412,2020-02-27 23:56:17,37.6,333.0,-70.20001,3.722,3.692,28,26,16.6,49.91,344.0
260413,2020-02-27 23:56:25,37.6,333.0,-70.30002,3.722,3.693,28,26,16.65,50.06,352.0
260414,2020-02-27 23:56:33,37.6,333.2,-70.20001,3.723,3.693,28,26,16.71,50.23,360.0
260415,2020-02-27 23:56:41,37.6,333.0,-70.10001,3.724,3.694,28,26,16.75,50.36,368.0
260416,2020-02-27 23:56:49,38.0,333.2,-70.30002,3.724,3.694,28,26,16.81,50.52,376.0
260417,2020-02-27 23:56:57,38.0,333.3,-70.20001,3.724,3.694,28,26,16.86,50.7,384.0
260418,2020-02-27 23:57:05,38.0,333.3,-70.39999,3.724,3.695,28,26,16.91,50.86,392.0
260419,2020-02-27 23:57:13,38.4,333.3,-70.20001,3.725,3.697,28,26,16.97,51.03,400.0
260420,2020-02-27 23:57:21,38.4,333.5,-70.39999,3.726,3.697,28,26,17.02,51.19,408.0
260421,2020-02-27 23:57:29,38.4,333.5,-70.20001,3.727,3.697,28,26,17.08,51.35,416.0
260422,2020-02-27 23:57:37,38.8,333.5,-70.20001,3.727,3.698,28,26,17.14,51.52,424.0
260423,2020-02-27 23:57:45,38.8,333.6,-70.5,3.728,3.699,28,26,17.18,51.66,432.0
260424,2020-02-27 23:57:53,38.8,333.6,-70.30002,3.729,3.699,28,26,17.24,51.82,440.0
260425,2020-02-27 23:58:01,38.8,333.6,-70.20001,3.73,3.699,28,26,17.29,51.99,448.0
260426,2020-02-27 23:58:09,39.2,333.6,-70.30002,3.731,3.7,28,26,17.35,52.15,456.0
260427,2020-02-27 23:58:17,39.2,333.8,-70.30002,3.731,3.701,28,26,17.4,52.3,464.0
260428,2020-02-27 23:58:25,39.2,333.8,-70.10001,3.731,3.7,28,26,17.45,52.46,472.0
260429,2020-02-27 23:58:33,39.6,333.8,-70.30002,3.732,3.701,28,26,17.51,52.64,480.0
260430,2020-02-27 23:58:41,39.6,333.9,-70.30002,3.733,3.702,28,26,17.56,52.8,488.0
260431,2020-02-27 23:58:49,39.6,333.9,-70.20001,3.733,3.702,28,27,17.61,52.95,496.0
260432,2020-02-27 23:58:57,40.0,333.9,-70.30002,3.734,3.704,28,27,17.66,53.11,504.0
260433,2020-02-27 23:59:05,40.0,334.1,-70.30002,3.735,3.704,28,26,17.72,53.28,512.0
260434,2020-02-27 23:59:13,40.0,334.1,-70.30002,3.734,3.704,28,27,17.78,53.44,520.0
260435,2020-02-27 23:59:21,40.0,334.2,-70.10001,3.735,3.705,28,27,17.83,53.6,528.0
