number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
1202,2019-07-27 11:04:05,20.0,326.1,-45.39999,3.638,3.618,35,34,9.07,27.26,0.0
1203,2019-07-27 11:04:13,20.0,326.3,-45.39999,3.64,3.621,35,34,9.099999,27.37,8.0
1204,2019-07-27 11:04:21,20.0,326.4,-45.30002,3.642,3.623,35,34,9.139999,27.49,16.0
1205,2019-07-27 11:04:29,20.4,326.6,-45.30002,3.644,3.624,35,34,9.17,27.59,24.0
1206,2019-07-27 11:04:37,20.4,326.6,-45.30002,3.644,3.625,35,34,9.2,27.67,32.0
1207,2019-07-27 11:04:45,20.4,326.7,-45.30002,3.646,3.625,35,34,9.23,27.77,40.0
1208,2019-07-27 11:04:53,20.4,326.7,-45.30002,3.647,3.627,35,34,9.27,27.88,48.0
1209,2019-07-27 11:05:01,20.4,326.9,-45.30002,3.647,3.627,35,34,9.3,27.98,56.0
1210,2019-07-27 11:05:09,20.8,326.9,-45.30002,3.648,3.629,35,34,9.34,28.08,64.0
1211,2019-07-27 11:05:17,20.8,327.1,-45.30002,3.649,3.629,35,34,9.37,28.18,72.0
1212,2019-07-27 11:05:25,20.8,327.1,-45.30002,3.649,3.629,35,34,9.4,28.29,80.0
1213,2019-07-27 11:05:33,20.8,327.1,-45.30002,3.65,3.63,35,34,9.45,28.4,88.0
1214,2019-07-27 11:05:41,20.8,327.2,-45.30002,3.651,3.631,36,34,9.48,28.52,96.0
1215,2019-07-27 11:05:49,21.2,327.2,-45.30002,3.651,3.632,36,34,9.52,28.62,104.0
1216,2019-07-27 11:05:57,21.2,327.2,-45.30002,3.652,3.633,35,34,9.55,28.72,112.0
1217,2019-07-27 11:06:05,21.2,327.4,-45.30002,3.652,3.632,35,34,9.58,28.8,120.0
1218,2019-07-27 11:06:13,21.2,327.4,-45.30002,3.653,3.633,36,34,9.62,28.92,128.0
1219,2019-07-27 11:06:21,21.2,327.4,-45.30002,3.653,3.633,36,34,9.65,29.02,136.0
1220,2019-07-27 11:06:29,21.2,327.4,-45.30002,3.653,3.634,36,34,9.679999,29.12,144.0
1221,2019-07-27 11:06:37,21.6,327.4,-45.30002,3.654,3.634,36,34,9.71,29.21,152.0
1222,2019-07-27 11:06:45,21.6,327.5,-45.30002,3.654,3.635,36,34,9.75,29.31,160.0
1223,2019-07-27 11:06:53,21.6,327.5,-45.30002,3.655,3.635,36,34,9.78,29.41,168.0
1224,2019-07-27 11:07:01,21.6,327.5,-45.30002,3.655,3.636,36,34,9.82,29.53,176.0
1225,2019-07-27 11:07:09,21.6,327.5,-45.30002,3.655,3.636,36,34,9.86,29.63,184.0
1226,2019-07-27 11:07:17,22.0,327.7,-45.30002,3.656,3.637,36,34,9.889999,29.74,192.0
1227,2019-07-27 11:07:25,22.0,327.7,-45.30002,3.656,3.637,36,34,9.929999,29.84,200.0
1228,2019-07-27 11:07:33,22.0,327.7,-45.30002,3.657,3.638,36,34,9.96,29.95,208.0
1229,2019-07-27 11:07:41,22.0,327.7,-45.30002,3.657,3.638,36,34,9.99,30.05,216.0
1230,2019-07-27 11:07:49,22.0,327.7,-45.30002,3.657,3.637,36,34,10.02,30.15,224.0
1231,2019-07-27 11:07:57,22.4,327.8,-45.30002,3.657,3.639,36,34,10.06,30.25,232.0
1232,2019-07-27 11:08:05,22.4,327.8,-45.30002,3.658,3.639,36,34,10.09,30.35,240.0
1233,2019-07-27 11:08:13,22.4,327.8,-45.30002,3.659,3.639,36,34,10.12,30.45,248.0
1234,2019-07-27 11:08:21,22.4,327.8,-45.30002,3.658,3.639,36,34,10.17,30.56,256.0
1235,2019-07-27 11:08:29,22.4,327.8,-45.30002,3.659,3.639,36,34,10.19,30.66,264.0
1236,2019-07-27 11:08:37,22.8,327.8,-45.30002,3.659,3.639,36,34,10.23,30.76,272.0
1237,2019-07-27 11:08:45,22.8,327.8,-45.30002,3.66,3.64,36,34,10.27,30.86,280.0
1238,2019-07-27 11:08:53,22.8,328.0,-45.30002,3.66,3.641,36,34,10.3,30.98,288.0
1239,2019-07-27 11:09:01,22.8,328.0,-45.30002,3.66,3.641,36,34,10.34,31.07,296.0
1240,2019-07-27 11:09:09,22.8,328.0,-45.20001,3.66,3.641,36,34,10.37,31.17,304.0
1241,2019-07-27 11:09:17,22.8,328.0,-45.20001,3.66,3.641,36,34,10.4,31.28,312.0
1242,2019-07-27 11:09:25,23.2,328.2,-45.30002,3.661,3.641,36,34,10.43,31.38,320.0
1243,2019-07-27 11:09:33,23.2,328.2,-45.30002,3.661,3.642,36,34,10.47,31.48,328.0
1244,2019-07-27 11:09:41,23.2,328.2,-45.30002,3.661,3.642,36,34,10.5,31.58,336.0
1245,2019-07-27 11:09:49,23.2,328.2,-45.20001,3.661,3.643,36,34,10.54,31.69,344.0
1246,2019-07-27 11:09:57,23.2,328.2,-45.30002,3.662,3.643,36,34,10.58,31.79,352.0
1247,2019-07-27 11:10:05,23.6,328.2,-45.20001,3.662,3.643,36,34,10.6,31.89,360.0
1248,2019-07-27 11:10:13,23.6,328.2,-45.20001,3.662,3.643,36,34,10.65,32.01,368.0
1249,2019-07-27 11:10:21,23.6,328.3,-45.30002,3.663,3.643,36,34,10.68,32.11,376.0
1250,2019-07-27 11:10:29,23.6,328.3,-45.30002,3.662,3.644,36,34,10.71,32.21,384.0
1251,2019-07-27 11:10:37,23.6,328.2,-45.20001,3.662,3.644,36,34,10.74,32.31,392.0
1252,2019-07-27 11:10:45,24.0,328.3,-45.30002,3.663,3.644,36,34,10.78,32.43,400.0
1253,2019-07-27 11:10:53,24.0,328.3,-45.20001,3.663,3.645,36,34,10.81,32.5,408.0
1254,2019-07-27 11:11:01,24.0,328.3,-45.30002,3.663,3.644,36,34,10.84,32.6,416.0
1255,2019-07-27 11:11:09,24.0,328.3,-45.30002,3.664,3.645,36,34,10.87,32.69,424.0
1256,2019-07-27 11:11:17,24.0,328.5,-45.30002,3.664,3.644,36,34,10.91,32.82,432.0
1257,2019-07-27 11:11:25,24.0,328.5,-45.30002,3.664,3.646,36,34,10.95,32.92,440.0
1258,2019-07-27 11:11:33,24.4,328.5,-45.30002,3.664,3.646,36,34,10.98,33.02,448.0
1259,2019-07-27 11:11:41,24.4,328.5,-45.20001,3.664,3.646,36,34,11.01,33.12,456.0
1260,2019-07-27 11:11:49,24.4,328.5,-45.20001,3.664,3.646,36,34,11.06,33.24,464.0
1261,2019-07-27 11:11:57,24.4,328.5,-45.20001,3.664,3.646,36,34,11.09,33.34,472.0
1262,2019-07-27 11:12:05,24.4,328.5,-45.30002,3.665,3.647,36,34,11.12,33.44,480.0
1263,2019-07-27 11:12:13,24.8,328.5,-45.20001,3.666,3.646,36,34,11.16,33.55,488.0
1264,2019-07-27 11:12:21,24.8,328.5,-45.30002,3.666,3.647,36,34,11.19,33.64,496.0
1265,2019-07-27 11:12:29,24.8,328.5,-45.30002,3.666,3.647,36,34,11.22,33.73,504.0
1266,2019-07-27 11:12:37,24.8,328.6,-45.30002,3.666,3.648,36,34,11.25,33.83,512.0
1267,2019-07-27 11:12:45,24.8,328.6,-45.30002,3.666,3.649,36,34,11.29,33.93,520.0
1268,2019-07-27 11:12:53,25.2,328.6,-45.20001,3.666,3.648,36,34,11.32,34.05,528.0
1269,2019-07-27 11:13:01,25.2,328.6,-45.20001,3.667,3.648,36,34,11.36,34.15,536.0
1270,2019-07-27 11:13:09,25.2,328.6,-45.20001,3.667,3.649,36,34,11.39,34.25,544.0
1271,2019-07-27 11:13:17,25.2,328.6,-45.30002,3.667,3.648,36,34,11.43,34.37,552.0
1272,2019-07-27 11:13:25,25.2,328.8,-45.30002,3.668,3.649,36,34,11.47,34.47,560.0
1273,2019-07-27 11:13:33,25.2,328.8,-45.30002,3.668,3.65,36,34,11.5,34.57,568.0
1274,2019-07-27 11:13:41,25.6,328.8,-45.30002,3.667,3.65,36,34,11.54,34.68,576.0
1275,2019-07-27 11:13:49,25.6,328.8,-45.30002,3.668,3.65,36,34,11.57,34.78,584.0
1276,2019-07-27 11:13:57,25.6,328.8,-45.30002,3.669,3.65,36,34,11.6,34.88,592.0
1277,2019-07-27 11:14:05,25.6,328.8,-45.30002,3.668,3.65,36,34,11.63,34.97,600.0
1278,2019-07-27 11:14:13,25.6,328.8,-45.30002,3.669,3.65,36,34,11.67,35.08,608.0
1279,2019-07-27 11:14:21,26.0,328.8,-45.20001,3.669,3.651,36,34,11.7,35.19,616.0
1280,2019-07-27 11:14:29,26.0,328.9,-45.30002,3.669,3.65,36,34,11.73,35.28,624.0
1281,2019-07-27 11:14:37,26.0,328.9,-45.30002,3.669,3.651,36,34,11.77,35.38,632.0
1282,2019-07-27 11:14:45,26.0,328.9,-45.30002,3.669,3.651,36,34,11.8,35.5,640.0
1283,2019-07-27 11:14:53,26.0,328.9,-45.30002,3.669,3.652,36,34,11.84,35.59,648.0
1284,2019-07-27 11:15:01,26.4,328.9,-45.30002,3.67,3.652,36,34,11.87,35.7,656.0
1285,2019-07-27 11:15:09,26.4,328.9,-45.20001,3.671,3.652,36,34,11.91,35.81,664.0
1286,2019-07-27 11:15:17,26.4,328.9,-45.30002,3.67,3.652,36,34,11.94,35.91,672.0
1287,2019-07-27 11:15:25,26.4,328.9,-45.30002,3.671,3.652,36,34,11.98,36.01,680.0
1288,2019-07-27 11:15:33,26.4,329.1,-45.30002,3.671,3.652,36,34,12.01,36.1,688.0
1289,2019-07-27 11:15:41,26.4,328.9,-45.30002,3.671,3.653,36,34,12.04,36.21,696.0
