number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
818485,2021-10-05 01:55:52,24.4,326.7,-69.20001,3.65,3.617,36,33,10.75,32.35,0.0
818486,2021-10-05 01:56:02,24.8,327.1,-69.10001,3.654,3.621,36,33,10.82,32.55,10.0
818487,2021-10-05 01:56:12,24.8,327.4,-69.10001,3.656,3.624,36,33,10.9,32.78,20.0
818488,2021-10-05 01:56:22,25.2,327.5,-69.10001,3.659,3.626,36,34,10.97,33.0,30.0
818489,2021-10-05 01:56:32,25.2,327.7,-69.20001,3.661,3.628,36,34,11.04,33.21,40.0
818490,2021-10-05 01:56:42,25.2,327.8,-69.10001,3.662,3.629,36,34,11.12,33.44,50.0
818491,2021-10-05 01:56:52,25.6,328.0,-69.20001,3.664,3.632,36,34,11.19,33.66,60.0
818492,2021-10-05 01:57:02,25.6,328.2,-69.10001,3.665,3.632,36,34,11.26,33.87,70.0
818493,2021-10-05 01:57:12,26.0,328.3,-69.20001,3.666,3.635,36,34,11.34,34.1,80.0
818494,2021-10-05 01:57:22,26.0,328.3,-69.20001,3.667,3.636,36,34,11.41,34.32,90.0
818495,2021-10-05 01:57:32,26.4,328.5,-69.20001,3.668,3.637,36,34,11.48,34.53,100.0
818496,2021-10-05 01:57:42,26.4,328.6,-69.20001,3.67,3.638,36,34,11.56,34.75,110.0
818497,2021-10-05 01:57:52,26.4,328.6,-69.20001,3.67,3.64,36,34,11.63,34.98,120.0
818498,2021-10-05 01:58:02,26.8,328.8,-69.20001,3.671,3.641,36,34,11.7,35.19,130.0
818499,2021-10-05 01:58:12,26.8,328.8,-69.20001,3.672,3.642,36,34,11.78,35.42,140.0
818500,2021-10-05 01:58:22,27.2,328.8,-69.20001,3.672,3.643,36,34,11.85,35.62,150.0
818501,2021-10-05 01:58:32,27.2,328.9,-69.10001,3.673,3.644,36,34,11.92,35.85,160.0
818502,2021-10-05 01:58:42,27.2,328.9,-69.20001,3.675,3.646,36,34,12.0,36.07,170.0
818503,2021-10-05 01:58:52,27.6,329.1,-69.20001,3.676,3.646,36,34,12.07,36.28,180.0
818504,2021-10-05 01:59:02,27.6,329.1,-69.20001,3.676,3.648,36,34,12.14,36.51,190.0
818505,2021-10-05 01:59:12,28.0,329.1,-69.10001,3.676,3.648,36,34,12.22,36.75,200.0
818506,2021-10-05 01:59:22,28.0,329.2,-69.20001,3.677,3.65,36,34,12.28,36.96,210.0
818507,2021-10-05 01:59:32,28.4,329.4,-69.20001,3.678,3.65,36,34,12.35,37.17,220.0
818508,2021-10-05 01:59:42,28.4,329.4,-69.20001,3.679,3.651,36,34,12.42,37.38,230.0
818509,2021-10-05 01:59:52,28.4,329.4,-69.20001,3.679,3.653,36,34,12.5,37.6,240.0
818510,2021-10-05 02:00:02,28.8,329.6,-69.20001,3.679,3.653,36,34,12.57,37.81,250.0
818511,2021-10-05 02:00:12,28.8,329.6,-69.20001,3.679,3.655,36,34,12.64,38.03,260.0
818512,2021-10-05 02:00:22,29.2,329.6,-69.20001,3.68,3.655,36,34,12.72,38.26,270.0
818513,2021-10-05 02:00:32,29.2,329.6,-69.20001,3.681,3.655,36,34,12.79,38.47,280.0
818514,2021-10-05 02:00:42,29.6,329.7,-69.20001,3.682,3.656,36,34,12.86,38.7,290.0
818515,2021-10-05 02:00:52,29.6,329.9,-69.20001,3.682,3.657,36,34,12.95,38.93,300.0
818516,2021-10-05 02:01:02,29.6,329.7,-69.10001,3.682,3.657,36,34,13.02,39.16,310.0
818517,2021-10-05 02:01:12,30.0,329.9,-69.20001,3.684,3.658,36,34,13.08,39.35,320.0
818518,2021-10-05 02:01:22,30.0,329.9,-69.20001,3.684,3.659,36,34,13.16,39.58,330.0
818519,2021-10-05 02:01:32,30.4,329.9,-69.20001,3.685,3.66,36,34,13.23,39.79,340.0
818520,2021-10-05 02:01:42,30.4,330.0,-69.20001,3.685,3.66,36,34,13.3,40.01,350.0
818521,2021-10-05 02:01:52,30.4,330.0,-69.20001,3.686,3.661,36,34,13.37,40.22,360.0
818522,2021-10-05 02:02:02,30.8,330.0,-69.20001,3.686,3.661,36,34,13.45,40.45,370.0
818523,2021-10-05 02:02:12,30.8,330.2,-69.20001,3.687,3.662,36,34,13.53,40.69,380.0
818524,2021-10-05 02:02:22,31.2,330.2,-69.20001,3.687,3.662,36,34,13.6,40.9,390.0
818525,2021-10-05 02:02:33,31.2,330.2,-69.20001,3.688,3.662,37,34,13.67,41.12,401.0
818526,2021-10-05 02:02:43,31.2,330.3,-69.20001,3.689,3.663,36,34,13.75,41.35,411.0
818527,2021-10-05 02:02:53,31.6,330.3,-69.20001,3.69,3.665,37,34,13.82,41.54,421.0
818528,2021-10-05 02:03:03,31.6,330.3,-69.10001,3.69,3.664,37,34,13.89,41.77,431.0
818529,2021-10-05 02:03:13,32.0,330.5,-69.20001,3.69,3.665,37,34,13.96,41.97,441.0
818530,2021-10-05 02:03:23,32.0,330.5,-69.20001,3.69,3.666,37,34,14.03,42.2,451.0
818531,2021-10-05 02:03:33,32.4,330.5,-69.20001,3.692,3.665,37,34,14.1,42.42,461.0
818532,2021-10-05 02:03:43,32.4,330.5,-69.10001,3.692,3.667,37,34,14.18,42.67,471.0
818533,2021-10-05 02:03:53,32.4,330.7,-69.20001,3.693,3.667,37,34,14.25,42.88,481.0
818534,2021-10-05 02:04:03,32.8,330.7,-69.20001,3.693,3.668,37,34,14.33,43.1,491.0
818535,2021-10-05 02:04:13,32.8,330.7,-69.20001,3.693,3.668,37,34,14.4,43.32,501.0
818536,2021-10-05 02:04:23,33.2,330.8,-69.10001,3.694,3.668,37,34,14.47,43.52,511.0
818537,2021-10-05 02:04:33,33.2,330.8,-69.20001,3.695,3.669,37,34,14.54,43.73,521.0
818538,2021-10-05 02:04:43,33.2,330.8,-69.20001,3.695,3.67,37,34,14.61,43.96,531.0
818539,2021-10-05 02:04:53,33.6,331.0,-69.20001,3.696,3.67,37,34,14.69,44.17,541.0
818540,2021-10-05 02:05:03,33.6,331.0,-69.20001,3.696,3.671,37,34,14.76,44.39,551.0
818541,2021-10-05 02:05:13,34.0,331.0,-69.20001,3.697,3.671,37,34,14.83,44.61,561.0
818542,2021-10-05 02:05:23,34.0,331.1,-69.20001,3.697,3.672,37,34,14.91,44.85,571.0
818543,2021-10-05 02:05:33,34.4,331.1,-69.20001,3.697,3.673,37,34,14.98,45.07,581.0
818544,2021-10-05 02:05:43,34.4,331.1,-69.10001,3.698,3.673,37,34,15.06,45.28,591.0
818545,2021-10-05 02:05:53,34.4,331.1,-69.20001,3.698,3.673,37,34,15.14,45.51,601.0
818546,2021-10-05 02:06:03,34.8,331.1,-69.20001,3.7,3.674,37,34,15.2,45.71,611.0
818547,2021-10-05 02:06:13,34.8,331.3,-69.20001,3.701,3.674,37,34,15.27,45.93,621.0
818548,2021-10-05 02:06:23,35.2,331.3,-69.20001,3.701,3.675,37,34,15.34,46.14,631.0
818549,2021-10-05 02:06:33,35.2,331.3,-69.20001,3.7,3.675,37,34,15.42,46.36,641.0
818550,2021-10-05 02:06:43,35.2,331.4,-69.10001,3.701,3.675,37,34,15.5,46.6,651.0
818551,2021-10-05 02:06:53,35.6,331.6,-69.20001,3.702,3.676,37,34,15.57,46.82,661.0
818552,2021-10-05 02:07:03,35.6,331.4,-69.20001,3.703,3.677,37,34,15.64,47.04,671.0
818553,2021-10-05 02:07:13,36.0,331.6,-69.10001,3.703,3.677,37,34,15.71,47.26,681.0
818554,2021-10-05 02:07:23,36.0,331.7,-69.20001,3.704,3.678,37,34,15.78,47.47,691.0
818555,2021-10-05 02:07:33,36.4,331.7,-69.20001,3.704,3.679,37,34,15.86,47.7,701.0
818556,2021-10-05 02:07:43,36.4,331.7,-69.20001,3.705,3.679,37,34,15.92,47.89,711.0
818557,2021-10-05 02:07:53,36.4,331.7,-69.20001,3.705,3.679,37,34,16.0,48.12,721.0
818558,2021-10-05 02:08:03,36.8,331.9,-69.10001,3.706,3.68,37,34,16.07,48.34,731.0
