number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
663650,2021-04-17 03:40:14,29.6,329.4,-70.20001,3.68,3.655,27,24,12.0,36.09,0.0
663651,2021-04-17 03:40:24,30.0,329.9,-70.0,3.684,3.659,27,24,12.06,36.28,10.0
663652,2021-04-17 03:40:34,30.0,330.2,-70.20001,3.687,3.663,27,24,12.13,36.49,20.0
663653,2021-04-17 03:40:44,30.0,330.3,-70.0,3.69,3.664,27,24,12.21,36.7,30.0
663654,2021-04-17 03:40:54,30.4,330.5,-70.39999,3.69,3.666,27,24,12.27,36.91,40.0
663655,2021-04-17 03:41:04,30.4,330.5,-70.0,3.693,3.667,27,24,12.33,37.08,50.0
663656,2021-04-17 03:41:14,30.8,330.7,-70.30002,3.693,3.668,27,24,12.39,37.28,60.0
663657,2021-04-17 03:41:24,30.8,330.7,-70.0,3.694,3.669,27,24,12.46,37.48,70.0
663658,2021-04-17 03:41:34,30.8,330.8,-70.30002,3.695,3.67,28,25,12.52,37.67,80.0
663659,2021-04-17 03:41:44,31.2,330.8,-70.10001,3.696,3.672,28,25,12.59,37.86,90.0
663660,2021-04-17 03:41:54,31.2,331.0,-70.30002,3.697,3.672,28,25,12.66,38.07,100.0
663661,2021-04-17 03:42:04,31.6,331.1,-70.20001,3.698,3.673,28,25,12.72,38.26,110.0
663662,2021-04-17 03:42:14,31.6,331.1,-70.20001,3.698,3.673,28,25,12.79,38.47,120.0
663663,2021-04-17 03:42:24,31.6,331.3,-70.20001,3.699,3.674,28,25,12.85,38.65,130.0
663664,2021-04-17 03:42:34,32.0,331.1,-70.39999,3.7,3.675,28,25,12.92,38.86,140.0
663665,2021-04-17 03:42:44,32.0,331.4,-70.0,3.7,3.676,28,25,12.98,39.05,150.0
663666,2021-04-17 03:42:54,32.4,331.4,-70.39999,3.702,3.676,28,25,13.05,39.25,160.0
663667,2021-04-17 03:43:04,32.4,331.4,-70.30002,3.702,3.676,28,25,13.11,39.44,170.0
663668,2021-04-17 03:43:14,32.4,331.6,-70.0,3.703,3.677,28,25,13.18,39.65,180.0
663669,2021-04-17 03:43:24,32.8,331.6,-70.0,3.704,3.678,28,25,13.25,39.84,190.0
663670,2021-04-17 03:43:34,32.8,331.7,-70.39999,3.705,3.679,28,25,13.31,40.03,200.0
663671,2021-04-17 03:43:44,33.2,331.7,-70.0,3.706,3.68,28,25,13.39,40.25,210.0
663672,2021-04-17 03:43:54,33.2,331.7,-70.0,3.705,3.68,28,25,13.45,40.45,220.0
663673,2021-04-17 03:44:04,33.2,331.9,-69.89999,3.705,3.68,28,25,13.51,40.63,230.0
663674,2021-04-17 03:44:14,33.6,332.1,-70.0,3.708,3.682,28,25,13.57,40.82,240.0
