number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
352081,2020-05-17 18:30:12,36.4,330.5,-49.89999,3.686,3.666,36,34,15.3,46.0,0.0
352082,2020-05-17 18:30:22,36.4,330.7,-49.89999,3.689,3.67,36,35,15.35,46.14,10.0
352083,2020-05-17 18:30:32,36.4,330.8,-49.89999,3.69,3.67,36,34,15.39,46.28,20.0
352084,2020-05-17 18:30:42,36.8,331.0,-49.89999,3.691,3.672,36,35,15.44,46.42,30.0
352085,2020-05-17 18:30:52,36.8,331.1,-49.80002,3.693,3.672,36,35,15.48,46.56,40.0
352086,2020-05-17 18:31:02,36.8,331.1,-49.80002,3.694,3.672,36,35,15.53,46.68,50.0
352087,2020-05-17 18:31:12,36.8,331.1,-49.80002,3.694,3.674,36,35,15.58,46.84,60.0
352088,2020-05-17 18:31:22,37.2,331.3,-49.80002,3.695,3.674,36,35,15.62,46.97,70.0
352089,2020-05-17 18:31:32,37.2,331.3,-49.80002,3.696,3.675,36,35,15.67,47.12,80.0
352090,2020-05-17 18:31:42,37.2,331.4,-49.80002,3.696,3.676,36,35,15.71,47.25,90.0
352091,2020-05-17 18:31:52,37.6,331.4,-49.80002,3.697,3.676,36,35,15.76,47.39,100.0
352092,2020-05-17 18:32:02,37.6,331.4,-49.80002,3.698,3.677,36,35,15.81,47.53,110.0
352093,2020-05-17 18:32:12,37.6,331.6,-49.80002,3.699,3.678,36,35,15.86,47.67,120.0
352094,2020-05-17 18:32:22,37.6,331.6,-49.80002,3.699,3.678,36,35,15.9,47.81,130.0
352095,2020-05-17 18:32:32,38.0,331.7,-49.80002,3.699,3.678,36,35,15.94,47.93,140.0
352096,2020-05-17 18:32:42,38.0,331.7,-49.80002,3.701,3.679,36,35,16.0,48.1,150.0
352097,2020-05-17 18:32:52,38.0,331.7,-49.80002,3.7,3.679,36,35,16.04,48.22,160.0
352098,2020-05-17 18:33:02,38.4,331.9,-49.80002,3.701,3.681,36,35,16.09,48.38,170.0
352099,2020-05-17 18:33:12,38.4,331.9,-49.80002,3.702,3.682,36,35,16.14,48.52,180.0
352100,2020-05-17 18:33:22,38.4,331.9,-49.80002,3.703,3.681,36,35,16.18,48.66,190.0
352101,2020-05-17 18:33:32,38.4,332.1,-49.80002,3.703,3.682,36,35,16.23,48.8,200.0
352102,2020-05-17 18:33:42,38.8,332.1,-49.80002,3.704,3.683,36,35,16.27,48.93,210.0
352103,2020-05-17 18:33:52,38.8,332.1,-49.80002,3.705,3.683,36,35,16.33,49.08,220.0
352104,2020-05-17 18:34:02,38.8,332.2,-49.80002,3.705,3.684,36,35,16.37,49.22,230.0
352105,2020-05-17 18:34:12,38.8,332.2,-49.80002,3.705,3.685,36,35,16.42,49.35,240.0
352106,2020-05-17 18:34:22,39.2,332.4,-49.80002,3.707,3.685,36,35,16.46,49.5,250.0
352107,2020-05-17 18:34:32,39.2,332.4,-49.80002,3.706,3.685,36,35,16.5,49.63,260.0
352108,2020-05-17 18:34:42,39.2,332.4,-49.80002,3.707,3.686,36,35,16.56,49.77,270.0
352109,2020-05-17 18:34:52,39.6,332.4,-49.80002,3.708,3.687,36,35,16.6,49.91,280.0
352110,2020-05-17 18:35:02,39.6,332.4,-49.80002,3.708,3.687,36,35,16.65,50.05,290.0
352111,2020-05-17 18:35:12,39.6,332.5,-49.80002,3.708,3.688,36,35,16.69,50.19,300.0
352112,2020-05-17 18:35:22,39.6,332.7,-49.80002,3.71,3.688,36,35,16.74,50.33,310.0
352113,2020-05-17 18:35:32,40.0,332.7,-49.80002,3.71,3.688,36,35,16.79,50.47,320.0
352114,2020-05-17 18:35:42,40.0,332.7,-49.80002,3.71,3.69,36,35,16.83,50.61,330.0
352115,2020-05-17 18:35:52,40.0,332.7,-49.80002,3.711,3.69,36,35,16.89,50.76,340.0
352116,2020-05-17 18:36:02,40.0,332.8,-49.80002,3.712,3.69,36,35,16.92,50.88,350.0
352117,2020-05-17 18:36:12,40.4,332.8,-49.80002,3.712,3.691,36,35,16.98,51.04,360.0
352118,2020-05-17 18:36:22,40.4,332.8,-49.80002,3.713,3.691,36,35,17.02,51.18,370.0
352119,2020-05-17 18:36:32,40.4,332.8,-49.80002,3.714,3.691,36,35,17.07,51.32,380.0
352120,2020-05-17 18:36:42,40.8,333.0,-49.80002,3.714,3.692,36,35,17.12,51.46,390.0
352121,2020-05-17 18:36:52,40.8,333.0,-49.80002,3.715,3.693,36,35,17.16,51.59,400.0
352122,2020-05-17 18:37:02,40.8,333.0,-49.80002,3.715,3.693,36,35,17.21,51.74,410.0
352123,2020-05-17 18:37:12,40.8,333.2,-49.80002,3.716,3.693,36,35,17.26,51.89,420.0
352124,2020-05-17 18:37:22,41.2,333.2,-49.80002,3.717,3.694,36,35,17.3,52.01,430.0
352125,2020-05-17 18:37:32,41.2,333.2,-49.80002,3.717,3.694,36,35,17.35,52.15,440.0
352126,2020-05-17 18:37:42,41.2,333.3,-49.80002,3.718,3.695,36,35,17.39,52.29,450.0
352127,2020-05-17 18:37:52,41.6,333.3,-49.80002,3.718,3.696,36,35,17.44,52.43,460.0
352128,2020-05-17 18:38:02,41.6,333.5,-49.80002,3.719,3.697,36,35,17.48,52.57,470.0
352129,2020-05-17 18:38:12,41.6,333.5,-49.80002,3.72,3.697,36,35,17.53,52.71,480.0
352130,2020-05-17 18:38:22,41.6,333.5,-49.80002,3.719,3.697,36,35,17.58,52.87,490.0
352131,2020-05-17 18:38:32,42.0,333.6,-49.80002,3.721,3.697,36,35,17.63,53.0,500.0
352132,2020-05-17 18:38:42,42.0,333.6,-49.80002,3.721,3.698,36,35,17.68,53.15,510.0
352133,2020-05-17 18:38:52,42.0,333.6,-49.80002,3.721,3.699,36,35,17.72,53.28,520.0
352134,2020-05-17 18:39:02,42.0,333.8,-49.80002,3.722,3.699,36,35,17.77,53.42,530.0
352135,2020-05-17 18:39:12,42.4,333.6,-49.80002,3.723,3.7,36,35,17.81,53.56,540.0
352136,2020-05-17 18:39:22,42.4,333.8,-49.80002,3.723,3.7,36,35,17.86,53.7,550.0
352137,2020-05-17 18:39:32,42.4,333.9,-49.80002,3.724,3.701,36,35,17.91,53.84,560.0
352138,2020-05-17 18:39:43,42.8,333.9,-49.80002,3.725,3.702,36,35,17.95,53.97,571.0
352139,2020-05-17 18:39:53,42.8,333.9,-49.80002,3.725,3.702,36,35,18.0,54.12,581.0
352140,2020-05-17 18:40:03,42.8,334.1,-49.80002,3.726,3.702,36,35,18.04,54.25,591.0
352141,2020-05-17 18:40:13,42.8,334.1,-49.80002,3.726,3.703,36,35,18.09,54.41,601.0
352142,2020-05-17 18:40:23,43.2,334.1,-49.80002,3.727,3.704,36,35,18.14,54.55,611.0
352143,2020-05-17 18:40:33,43.2,334.2,-49.80002,3.727,3.705,36,35,18.19,54.68,621.0
352144,2020-05-17 18:40:43,43.2,334.2,-49.80002,3.729,3.705,36,35,18.24,54.83,631.0
352145,2020-05-17 18:40:53,43.6,334.2,-49.80002,3.729,3.705,36,35,18.28,54.97,641.0
