number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
748999,2021-07-24 05:24:35,30.4,328.2,-70.10001,3.665,3.638,37,35,13.61,40.95,0.0
749000,2021-07-24 05:24:43,30.8,328.5,-70.20001,3.669,3.643,37,35,13.67,41.13,8.0
749001,2021-07-24 05:24:51,30.8,328.8,-70.20001,3.67,3.645,37,35,13.74,41.31,16.0
749002,2021-07-24 05:24:59,30.8,328.8,-70.10001,3.672,3.646,38,35,13.8,41.5,24.0
749003,2021-07-24 05:25:07,31.2,328.9,-70.0,3.674,3.648,38,35,13.86,41.68,32.0
749004,2021-07-24 05:25:15,31.2,329.1,-70.10001,3.674,3.65,38,35,13.92,41.85,40.0
749005,2021-07-24 05:25:23,31.2,329.1,-70.10001,3.676,3.65,38,35,13.97,42.03,48.0
749006,2021-07-24 05:25:31,31.6,329.2,-70.10001,3.676,3.652,38,35,14.03,42.21,56.0
749007,2021-07-24 05:25:39,31.6,329.4,-70.0,3.678,3.652,38,35,14.09,42.37,64.0
749008,2021-07-24 05:25:47,31.6,329.4,-70.20001,3.678,3.653,38,35,14.15,42.55,72.0
749009,2021-07-24 05:25:55,32.0,329.6,-70.10001,3.679,3.654,38,35,14.21,42.73,80.0
749010,2021-07-24 05:26:03,32.0,329.6,-70.10001,3.68,3.656,38,35,14.26,42.89,88.0
749011,2021-07-24 05:26:11,32.0,329.6,-70.10001,3.681,3.655,38,35,14.32,43.08,96.0
749012,2021-07-24 05:26:19,32.4,329.7,-70.0,3.682,3.656,38,35,14.39,43.26,104.0
749013,2021-07-24 05:26:27,32.4,329.7,-70.10001,3.682,3.658,38,35,14.45,43.46,112.0
749014,2021-07-24 05:26:35,32.4,329.7,-70.10001,3.682,3.657,38,35,14.51,43.64,120.0
749015,2021-07-24 05:26:43,32.8,329.7,-70.10001,3.683,3.659,38,35,14.57,43.82,128.0
749016,2021-07-24 05:26:51,32.8,329.9,-70.10001,3.684,3.659,38,35,14.63,44.0,136.0
749017,2021-07-24 05:26:59,32.8,329.9,-70.20001,3.684,3.66,38,35,14.69,44.17,144.0
749018,2021-07-24 05:27:07,33.2,330.0,-70.10001,3.685,3.661,38,35,14.75,44.35,152.0
749019,2021-07-24 05:27:15,33.2,330.0,-70.10001,3.686,3.661,38,35,14.8,44.5,160.0
749020,2021-07-24 05:27:23,33.2,330.0,-70.10001,3.686,3.662,38,35,14.85,44.68,168.0
749021,2021-07-24 05:27:31,33.6,330.0,-70.10001,3.687,3.662,38,36,14.92,44.86,176.0
749022,2021-07-24 05:27:39,33.6,330.2,-70.10001,3.687,3.662,38,36,14.98,45.04,184.0
749023,2021-07-24 05:27:47,33.6,330.2,-70.20001,3.687,3.663,38,35,15.03,45.22,192.0
749024,2021-07-24 05:27:55,34.0,330.3,-70.10001,3.687,3.664,38,36,15.1,45.42,200.0
749025,2021-07-24 05:28:03,34.0,330.2,-70.10001,3.689,3.664,38,36,15.16,45.6,208.0
749026,2021-07-24 05:28:11,34.0,330.3,-70.10001,3.689,3.664,38,36,15.21,45.77,216.0
749027,2021-07-24 05:28:19,34.4,330.3,-70.10001,3.69,3.665,38,36,15.28,45.95,224.0
749028,2021-07-24 05:28:27,34.4,330.5,-70.10001,3.69,3.665,38,36,15.34,46.13,232.0
749029,2021-07-24 05:28:35,34.4,330.5,-70.20001,3.691,3.666,38,36,15.39,46.31,240.0
749030,2021-07-24 05:28:43,34.8,330.5,-70.10001,3.69,3.666,38,36,15.46,46.49,248.0
749031,2021-07-24 05:28:51,34.8,330.5,-70.20001,3.691,3.667,38,36,15.5,46.64,256.0
749032,2021-07-24 05:28:59,34.8,330.7,-70.20001,3.692,3.668,38,36,15.57,46.82,264.0
749033,2021-07-24 05:29:07,35.2,330.7,-70.10001,3.692,3.667,38,36,15.63,47.0,272.0
749034,2021-07-24 05:29:15,35.2,330.7,-70.20001,3.693,3.668,38,36,15.68,47.17,280.0
749035,2021-07-24 05:29:23,35.2,330.8,-70.10001,3.693,3.668,38,36,15.75,47.35,288.0
749036,2021-07-24 05:29:31,35.6,330.8,-70.10001,3.694,3.668,38,36,15.81,47.55,296.0
749037,2021-07-24 05:29:39,35.6,330.8,-70.20001,3.694,3.67,38,36,15.87,47.74,304.0
749038,2021-07-24 05:29:47,35.6,330.8,-70.20001,3.695,3.67,38,36,15.93,47.92,312.0
749039,2021-07-24 05:29:55,36.0,331.0,-70.20001,3.696,3.67,38,36,16.0,48.1,320.0
749040,2021-07-24 05:30:03,36.0,331.0,-70.20001,3.696,3.67,38,36,16.05,48.28,328.0
749041,2021-07-24 05:30:11,36.0,331.0,-70.10001,3.696,3.672,38,36,16.11,48.46,336.0
749042,2021-07-24 05:30:19,36.4,331.0,-70.20001,3.697,3.671,38,36,16.17,48.62,344.0
749043,2021-07-24 05:30:27,36.4,331.1,-70.20001,3.697,3.672,38,36,16.22,48.78,352.0
749044,2021-07-24 05:30:35,36.4,331.1,-70.20001,3.697,3.672,38,36,16.28,48.96,360.0
749045,2021-07-24 05:30:43,36.8,331.1,-70.20001,3.698,3.674,38,36,16.34,49.14,368.0
749046,2021-07-24 05:30:51,36.8,331.1,-70.20001,3.699,3.672,38,36,16.39,49.31,376.0
749047,2021-07-24 05:30:59,36.8,331.3,-70.20001,3.7,3.674,38,36,16.46,49.52,384.0
749048,2021-07-24 05:31:07,37.2,331.3,-70.10001,3.7,3.674,38,36,16.53,49.7,392.0
749049,2021-07-24 05:31:15,37.2,331.4,-70.10001,3.7,3.675,38,36,16.58,49.86,400.0
749050,2021-07-24 05:31:23,37.2,331.4,-70.20001,3.702,3.675,38,36,16.64,50.04,408.0
749051,2021-07-24 05:31:31,37.6,331.4,-70.10001,3.701,3.676,38,36,16.7,50.22,416.0
749052,2021-07-24 05:31:39,37.6,331.4,-70.10001,3.702,3.676,38,36,16.76,50.41,424.0
749053,2021-07-24 05:31:47,37.6,331.4,-70.20001,3.702,3.676,38,36,16.82,50.59,432.0
749054,2021-07-24 05:31:55,38.0,331.6,-70.20001,3.702,3.677,38,36,16.88,50.77,440.0
749055,2021-07-24 05:32:03,38.0,331.6,-70.20001,3.703,3.677,38,36,16.94,50.95,448.0
749056,2021-07-24 05:32:11,38.0,331.6,-70.20001,3.704,3.678,38,36,16.99,51.1,456.0
749057,2021-07-24 05:32:19,38.4,331.6,-70.20001,3.704,3.678,38,36,17.05,51.28,464.0
749058,2021-07-24 05:32:27,38.4,331.7,-70.20001,3.704,3.679,38,36,17.11,51.47,472.0
749059,2021-07-24 05:32:36,38.4,331.7,-70.20001,3.705,3.679,39,36,17.17,51.65,481.0
749060,2021-07-24 05:32:44,38.8,331.7,-70.20001,3.706,3.68,39,36,17.24,51.83,489.0
749061,2021-07-24 05:32:52,38.8,331.9,-70.10001,3.705,3.68,39,36,17.29,52.01,497.0
749062,2021-07-24 05:33:00,38.8,331.9,-70.20001,3.706,3.681,39,36,17.35,52.19,505.0
749063,2021-07-24 05:33:08,39.2,331.9,-70.20001,3.707,3.68,39,36,17.42,52.37,513.0
749064,2021-07-24 05:33:16,39.2,332.1,-70.20001,3.708,3.681,39,36,17.47,52.53,521.0
749065,2021-07-24 05:33:24,39.2,332.1,-70.20001,3.708,3.682,39,36,17.53,52.71,529.0
749066,2021-07-24 05:33:32,39.6,332.1,-70.20001,3.708,3.682,39,36,17.59,52.9,537.0
749067,2021-07-24 05:33:40,39.6,332.1,-70.10001,3.708,3.683,39,36,17.64,53.06,545.0
749068,2021-07-24 05:33:48,39.6,332.1,-70.20001,3.709,3.683,39,36,17.71,53.25,553.0
749069,2021-07-24 05:33:56,39.6,332.2,-70.10001,3.71,3.684,39,36,17.76,53.42,561.0
749070,2021-07-24 05:34:04,40.0,332.2,-70.10001,3.711,3.684,39,36,17.83,53.62,569.0
749071,2021-07-24 05:34:12,40.0,332.4,-70.10001,3.711,3.684,39,36,17.89,53.8,577.0
749072,2021-07-24 05:34:20,40.0,332.4,-70.20001,3.712,3.686,39,36,17.94,53.96,585.0
749073,2021-07-24 05:34:28,40.4,332.4,-70.20001,3.711,3.686,39,36,18.01,54.16,593.0
749074,2021-07-24 05:34:36,40.4,332.4,-70.10001,3.713,3.686,39,36,18.07,54.32,601.0
749075,2021-07-24 05:34:44,40.8,332.4,-70.10001,3.713,3.686,39,36,18.12,54.5,609.0
749076,2021-07-24 05:34:52,40.8,332.5,-70.10001,3.713,3.687,39,36,18.18,54.68,617.0
749077,2021-07-24 05:35:00,40.8,332.5,-70.20001,3.714,3.687,39,36,18.25,54.86,625.0
749078,2021-07-24 05:35:08,41.2,332.7,-70.10001,3.714,3.688,39,36,18.3,55.04,633.0
